Time	Referenz_left_y_baseline X
16.639999	-0.02796742	
16.660000	-0.02652971	
16.680000	-0.02310279	
16.699999	-0.01616000	
16.719999	-0.00745219	
16.740000	0.00256008	
16.760000	0.01010120	
16.779999	0.01655464	
16.799999	0.01983602	
16.820000	0.02478826	
16.840000	0.02768575	
16.859999	0.03117870	
16.879999	0.03195626	
16.900000	0.03090666	
16.920000	0.02901599	
16.940001	0.02449481	
16.959999	0.01908861	
16.980000	0.00764942	
17.000000	-0.00731474	
17.020000	-0.02057083	
17.039999	-0.02771290	
17.059999	-0.02846299	
17.080000	-0.02831157	
17.100000	-0.02807556	
17.119999	-0.02809645	
17.139999	-0.02692220	
17.160000	-0.02471720	
17.180000	-0.01950708	
17.199999	-0.01320440	
17.219999	-0.00497667	
17.240000	0.00246422	
17.260000	0.01081778	
17.279999	0.01709452	
17.299999	0.02338777	
17.320000	0.02680695	
17.340000	0.02995896	
17.359999	0.03088105	
17.379999	0.03055678	
17.400000	0.02957541	
17.420000	0.02754475	
17.440001	0.02576880	
17.459999	0.01937397	
17.480000	0.00991473	
17.500000	-0.00562115	
17.520000	-0.01801714	
17.539999	-0.02639361	
17.559999	-0.02798595	
17.580000	-0.02809645	
17.600000	-0.02809645	
17.619999	-0.02779527	
17.639999	-0.02749407	
17.660000	-0.02442190	
17.680000	-0.01895490	
17.699999	-0.00990734	
17.719999	-0.00207631	
17.740000	0.00630470	
17.760000	0.01219569	
17.779999	0.01816383	
17.799999	0.02101921	
17.820000	0.02454199	
17.840000	0.02643333	
17.859999	0.02789243	
17.879999	0.02759343	
17.900000	0.02667421	
17.920000	0.02598558	
17.940001	0.02281842	
17.959999	0.01791453	
17.980000	0.00886208	
18.000000	-0.00300868	
18.020000	-0.01644787	
18.039999	-0.02566119	
18.059999	-0.02897626	
18.080000	-0.02839039	
18.100000	-0.02803631	
18.119999	-0.02831897	
18.139999	-0.02842712	
18.160000	-0.02818590	
18.180000	-0.02556045	
18.199999	-0.02135327	
18.219999	-0.01400520	
18.240000	-0.00600959	
18.260000	0.00353034	
18.279999	0.01132548	
18.299999	0.01762867	
18.320000	0.02085547	
18.340000	0.02375196	
18.359999	0.02514502	
18.379999	0.02387071	
18.400000	0.01984832	
18.420000	0.01060502	
18.440001	-0.00211927	
18.459999	-0.01659240	
18.480000	-0.02581616	
18.500000	-0.02863279	
18.520000	-0.02819617	
18.539999	-0.02760155	
18.559999	-0.02749458	
18.580000	-0.02536808	
18.600000	-0.02096146	
18.619999	-0.01193681	
18.639999	-0.00247402	
18.660000	0.00842917	
18.680000	0.01551633	
18.699999	0.02205820	
18.719999	0.02479751	
18.740000	0.02879532	
18.760000	0.03092788	
18.779999	0.03503214	
18.799999	0.03709513	
18.820000	0.03957167	
18.840000	0.03997241	
18.859999	0.03907625	
18.879999	0.03778341	
18.900000	0.03460731	
18.920000	0.03254987	
18.939999	0.02767463	
18.959999	0.02192563	
18.980000	0.01078510	
19.000000	-0.00473747	
19.020000	-0.01897056	
19.039999	-0.02762361	
19.059999	-0.02875946	
19.080000	-0.02842796	
19.100000	-0.02815929	
19.119999	-0.02822228	
19.139999	-0.02711591	
19.160000	-0.02441803	
19.180000	-0.01812765	
19.199999	-0.01075312	
19.219999	-0.00107640	
19.240000	0.00673795	
19.260000	0.01506589	
19.279999	0.02065857	
19.299999	0.02635297	
19.320000	0.02942666	
19.340000	0.03028625	
19.359999	0.02931380	
19.379999	0.02590272	
19.400000	0.02094121	
19.420000	0.00966643	
19.439999	-0.00533327	
19.459999	-0.01886326	
19.480000	-0.02609511	
19.500000	-0.02679721	
19.520000	-0.02611566	
19.539999	-0.02284490	
19.559999	-0.01835757	
19.580000	-0.00989588	
19.600000	-0.00055034	
19.619999	0.01040305	
19.639999	0.01771812	
19.660000	0.02330810	
19.680000	0.02556127	
19.699999	0.02706636	
19.719999	0.02659301	
19.740000	0.02257602	
19.760000	0.01497105	
19.779999	0.00106964	
19.799999	-0.01315419	
19.820000	-0.02367416	
19.840000	-0.02765243	
19.859999	-0.02710193	
19.879999	-0.02639461	
19.900000	-0.02223477	
19.920000	-0.01596661	
19.939999	-0.00522564	
19.959999	0.00519849	
19.980000	0.01610169	
20.000000	0.02325469	
20.020000	0.02876988	
20.039999	0.03102794	
20.059999	0.03242303	
20.080000	0.03228289	
20.100000	0.03022495	
20.119999	0.02493362	
20.139999	0.01367231	
20.160000	-0.00239334	
20.180000	-0.01716579	
20.199999	-0.02588320	
20.219999	-0.02714488	
20.240000	-0.02623391	
20.260000	-0.02223594	
20.279999	-0.01629677	
20.299999	-0.00729352	
20.320000	0.00209886	
20.340000	0.01192364	
20.359999	0.01949255	
20.379999	0.02500117	
20.400000	0.02740899	
20.420000	0.02817442	
20.439999	0.02668431	
20.459999	0.02125959	
20.480000	0.01330997	
20.500000	-0.00014623	
20.520000	-0.01350085	
20.539999	-0.02384295	
20.559999	-0.02790830	
20.580000	-0.02767466	
20.600000	-0.02725336	
20.619999	-0.02411500	
20.639999	-0.01864798	
20.660000	-0.00857474	
20.680000	0.00280112	
20.699999	0.01543967	
20.719999	0.02494693	
20.740000	0.03221567	
20.760000	0.03546454	
20.779999	0.03749233	
20.799999	0.03776236	
20.820000	0.03686149	
20.840000	0.03549083	
20.859999	0.03063242	
20.879999	0.02438398	
20.900000	0.01272057	
20.920000	-0.00118119	
20.939999	-0.01605758	
20.959999	-0.02521615	
20.980000	-0.02853021	
21.000000	-0.02819820	
21.020000	-0.02618389	
21.039999	-0.02242595	
21.059999	-0.01493065	
21.080000	-0.00485201	
21.100000	0.00789839	
21.119999	0.01915161	
21.139999	0.02814679	
21.160000	0.03262062	
21.180000	0.03599954	
21.199999	0.03730738	
21.219999	0.03790183	
21.240000	0.03671561	
21.260000	0.03200950	
21.279999	0.02331887	
21.299999	0.00755492	
21.320000	-0.00974798	
21.340000	-0.02265757	
21.359999	-0.02800600	
21.379999	-0.02675712	
21.400000	-0.02508004	
21.420000	-0.02133407	
21.439999	-0.01708175	
21.459999	-0.00900361	
21.480000	0.00040039	
21.500000	0.01057673	
21.520000	0.01754630	
21.539999	0.02278422	
21.559999	0.02542651	
21.580000	0.02849852	
21.600000	0.02990742	
21.619999	0.03039373	
21.639999	0.02969214	
21.660000	0.02612388	
21.680000	0.02094965	
21.699999	0.00984111	
21.719999	-0.00464280	
21.740000	-0.01852097	
21.760000	-0.02641921	
21.779999	-0.02744776	
21.799999	-0.02677430	
21.820000	-0.02316898	
21.840000	-0.01843153	
21.859999	-0.00988190	
21.879999	-0.00215735	
21.900000	0.00785965	
21.920000	0.01536539	
21.939999	0.02309382	
21.959999	0.02773494	
21.980000	0.03262752	
22.000000	0.03514484	
22.020000	0.03647743	
22.039999	0.03627698	
22.059999	0.03435008	
22.080000	0.03089622	
22.100000	0.02320787	
22.119999	0.01201780	
22.139999	-0.00349836	
