Time	Left_Forefoot_y_baseline X
13.820000	-0.01749834	
13.840000	-0.01784787	
13.860000	-0.01669589	
13.880000	-0.01514626	
13.900000	-0.00932711	
13.920000	-0.00479507	
13.940000	-0.00035276	
13.960000	-0.00064650	
13.980000	-0.00442912	
14.000000	-0.00820145	
14.020000	-0.01260737	
14.040000	-0.01375565	
14.059999	-0.01367849	
14.080000	-0.01226506	
14.099999	-0.00609846	
14.120000	0.00145093	
14.139999	0.00857203	
14.160000	0.00977503	
14.179999	0.00628616	
14.200000	0.00198413	
14.219999	-0.00463688	
14.240000	-0.00909382	
14.259999	-0.01523286	
14.280000	-0.01834837	
14.299999	-0.02024871	
14.320000	-0.01946124	
14.340000	-0.01824549	
14.360000	-0.01546654	
14.380000	-0.00635868	
14.400000	0.00576715	
14.420000	0.01751079	
14.440000	0.02404828	
14.460000	0.02768341	
14.480000	0.02888209	
14.500000	0.02626503	
14.520000	0.02178958	
14.540000	0.01330276	
14.559999	0.00177224	
14.580000	-0.00751603	
14.599999	-0.01275301	
14.620000	-0.01350179	
14.639999	-0.01471755	
14.660000	-0.01228625	
14.679999	-0.00429726	
14.700000	0.00648797	
14.719999	0.01407541	
14.740000	0.01830031	
14.759999	0.01971272	
14.780000	0.01974851	
14.799999	0.01880471	
14.820000	0.01481022	
14.839999	0.00835150	
14.860000	-0.00084460	
14.880000	-0.00697376	
14.900000	-0.00986791	
14.920000	-0.01002488	
14.940000	-0.00877005	
14.960000	-0.00377989	
14.980000	0.00220835	
15.000000	0.00686873	
15.020000	0.00837845	
15.040000	0.00888965	
15.059999	0.00888965	
15.080000	0.00846176	
15.099999	0.00570358	
15.120000	0.00270762	
15.139999	-0.00391957	
15.160000	-0.00846002	
15.179999	-0.01241460	
15.200000	-0.01273799	
15.219999	-0.00986195	
15.240000	-0.00399342	
15.259999	0.00595312	
15.280000	0.01394211	
15.299999	0.01938851	
15.320000	0.02061744	
15.339999	0.01901968	
15.360000	0.01557711	
15.380000	0.00785717	
15.400000	-0.00177956	
15.420000	-0.01076460	
15.440000	-0.01582921	
15.460000	-0.01707748	
15.480000	-0.01748252	
15.500000	-0.01299739	
15.520000	-0.00473933	
15.540000	0.00732398	
15.559999	0.01539278	
15.580000	0.01977155	
15.599999	0.02017084	
15.620000	0.01817359	
15.639999	0.01250748	
15.660000	0.00168914	
15.679999	-0.00737531	
15.700000	-0.01454106	
15.719999	-0.01626554	
15.740000	-0.01472929	
15.759999	-0.01157615	
15.780000	-0.00402655	
15.799999	0.00275266	
15.820000	0.01069681	
15.839999	0.01406266	
15.860000	0.01311022	
