Time	Knöchel li X	Knöchel li Y	Knöchel li Weg	Knöchel li v(X)	Knöchel li v(Y)	Knöchel li v(Bahn)	Knöchel li a(X)	Knöchel li a(Y)	Knöchel li a(Bahn)
3.380000	-0.28113401	-0.52498388	5.64634800	1.59796262	0.18398307	1.60851932	-0.44675800	0.83504713	-0.34906054	
3.400000	-0.24929874	-0.52111441	5.67841768	1.58879650	0.20045233	1.60139167	-0.52074766	0.81936073	-0.41440260	
3.420000	-0.21757025	-0.51690507	5.71042395	1.57784975	0.21620856	1.59259415	-0.63589889	0.83937067	-0.51465660	
3.440000	-0.18606068	-0.51246476	5.74224472	1.56488836	0.23169236	1.58194721	-0.80898023	0.91247088	-0.66146082	
3.460000	-0.15481551	-0.50768691	5.77385330	1.54839802	0.24938338	1.56835210	-1.06611204	1.05535424	-0.87343121	
3.480000	-0.12399701	-0.50261390	5.80508661	1.52617061	0.27110937	1.55006361	-1.47899532	1.29049015	-1.20842910	
3.500000	-0.09357953	-0.49707428	5.83600426	1.49576843	0.29816094	1.52519608	-2.16014385	1.62469411	-1.75670612	
3.520000	-0.06380415	-0.49093568	5.86640596	1.45226717	0.33257988	1.48986220	-3.21832681	2.06066513	-2.58330297	
3.540000	-0.03487884	-0.48403159	5.89614391	1.38574266	0.37669948	1.43603110	-4.73311853	2.61412954	-3.67122412	
3.560000	-0.00730465	-0.47624093	5.92479753	1.28311706	0.43273610	1.35412335	-6.71921110	3.26851845	-4.83979416	
3.580000	0.01816301	-0.46722054	5.95181561	1.13293624	0.50362355	1.23983109	-9.07098103	3.92697430	-5.63467264	
3.600000	0.04021313	-0.45672825	5.97623491	0.92730033	0.59142190	1.09984803	-11.55252361	4.40672588	-5.40614080	
3.620000	0.05746195	-0.44424632	5.99752617	0.66537142	0.69269609	0.96049309	-13.85818481	4.44285202	-3.81227517	
3.640000	0.06863133	-0.42946175	6.01605558	0.35448518	0.79560149	0.87100029	-15.68959808	3.73055267	-1.16777968	
3.660000	0.07281268	-0.41212130	6.03389311	0.00969690	0.88023138	0.88028479	-16.82413483	2.04773426	1.88706541	
3.680000	0.06952850	-0.39278951	6.05350208	-0.34987518	0.92021632	0.98448503	-17.16258049	-0.61292821	4.74408007	
3.700000	0.05863657	-0.37267974	6.07637215	-0.70523393	0.88971299	1.13531673	-16.73715591	-4.00137758	6.90118599	
3.720000	0.04048498	-0.35373190	6.10261154	-1.04109883	0.77272201	1.29652846	-15.70453262	-7.63739729	8.23172665	
3.740000	0.01575501	-0.33823004	6.13179874	-1.34676576	0.56994176	1.46239924	-14.31039333	-10.91134834	9.11459351	
3.760000	-0.01473311	-0.32820645	6.16389227	-1.61671460	0.29801977	1.64395308	-12.82221985	-13.26553059	9.96640205	
3.780000	-0.05016825	-0.32493353	6.19947815	-1.85244465	-0.01325172	1.85249209	-11.46639252	-14.35219860	10.84866619	
3.800000	-0.08986612	-0.32878339	6.23936224	-2.06140232	-0.32950637	2.08757138	-10.39495564	-14.07794285	11.54978848	
3.820000	-0.13324569	-0.33931080	6.28400087	-2.25337863	-0.62025684	2.33718491	-9.65546131	-12.56953239	11.80469036	
3.840000	-0.18012370	-0.35548577	6.33359098	-2.43666053	-0.86333346	2.58508396	-9.14912987	-10.08948421	11.42226982	
3.860000	-0.23056194	-0.37604374	6.38805771	-2.61609507	-1.04389572	2.81667733	-8.62994099	-6.93044901	10.31087399	
3.880000	-0.28470638	-0.39959830	6.44710398	-2.79114676	-1.15307033	3.01994562	-7.74816942	-3.36710191	8.42225456	
3.900000	-0.34250081	-0.42473364	6.51012754	-2.95152378	-1.18492723	3.18049455	-6.08505058	0.29523411	5.67375898	
3.920000	-0.40363255	-0.44977984	6.57619095	-3.07679343	-1.13762939	3.28037477	-3.19393063	3.65720367	1.90705681	
3.940000	-0.46742192	-0.47307849	6.64410210	-3.13677263	-1.01652646	3.29737306	1.23931515	6.26207590	-3.01839781	
3.960000	-0.53234589	-0.49284044	6.71196699	-3.09286046	-0.84191060	3.20540166	7.13540125	7.72703886	-8.98981285	
3.980000	-0.59606284	-0.50794399	6.77744961	-2.90381241	-0.64843273	2.97533059	13.94320011	7.87578392	-15.52948570	
4.000000	-0.65503120	-0.51798087	6.83726597	-2.54471803	-0.47402364	2.58849144	20.72370911	6.84535885	-21.85836983	
4.020000	-0.70492756	-0.52430141	6.88756084	-2.02822447	-0.34532088	2.05741119	26.26457214	5.14073277	-26.85318947	
4.040000	-0.74141085	-0.52882218	6.92432308	-1.39896536	-0.27112752	1.42499626	29.38986778	3.45197296	-25.24692154	
4.060000	-0.76222795	-0.53333032	6.94562292	-0.72687638	-0.23980603	0.76541245	29.53214645	2.30730128	-16.96010971	
4.080000	-0.76820177	-0.53822792	6.95334768	-0.09428954	-0.22265157	0.24179380	26.95399666	1.86970425	-7.77503204	
4.100000	-0.76131773	-0.54326767	6.96187925	0.42852271	-0.19310457	0.47002244	22.46265793	1.98569548	0.97852808	
4.120000	-0.74526209	-0.54745752	6.97847271	0.81727993	-0.14289290	0.82967758	17.14900970	2.29739022	8.87043095	
4.140000	-0.72336864	-0.54987252	7.00049877	1.08413696	-0.08224221	1.08725190	12.15856743	2.41317487	11.21277428	
4.160000	-0.69884336	-0.55030352	7.02502775	1.25532520	-0.02517848	1.25557768	8.25939274	2.14334559	8.23402023	
4.180000	-0.67210746	-0.54951108	7.05177546	1.36213553	0.01667414	1.36223757	5.56701756	1.59740603	5.51842737	
