Time	Step_Length_1_4.84 X
17.240000	0.64476818
17.260000	0.70896626
17.279999	0.75592792
17.299999	0.78547031
17.320000	0.79901087
17.340000	0.79879844
17.359999	0.78760451
17.379999	0.76712531
17.400000	0.73855138
17.420000	0.70212090
17.440001	0.65888894
17.459999	0.60932767
17.480000	0.55444276
17.500000	0.49492323
17.520000	0.43171757
17.539999	0.36511093
17.559999	0.29560718
17.580000	0.22304162
17.600000	0.14689603
17.619999	0.06668311
17.639999	-0.01772888
17.660000	-0.10620355
17.680000	-0.19849303
17.699999	-0.29343674
17.719999	-0.38903794
17.740000	-0.48221517
17.760000	-0.56854439
17.779999	-0.64259529
17.799999	-0.69993556
17.820000	-0.73885202
17.840000	-0.75965136
17.859999	-0.76494980
17.879999	-0.75800252
17.900000	-0.74206126
17.920000	-0.71832609
17.940001	-0.68768907
17.959999	-0.65020680
17.980000	-0.60648441
18.000000	-0.55685240
18.020000	-0.50225794
18.039999	-0.44348174
18.059999	-0.38115063
18.080000	-0.31579161
18.100000	-0.24753657
18.119999	-0.17688546
18.139999	-0.10242555
18.160000	-0.02402119
18.180000	0.05944117
18.199999	0.14715484
18.219999	0.23974697
18.240000	0.33521411
18.260000	0.43155205
18.279999	0.52450055
18.299999	0.61016238
18.320000	0.68265665
18.340000	0.73799992
18.359999	0.77424413
18.379999	0.79242325
18.400000	0.79472536
18.420000	0.78486466
18.440001	0.76531047
18.459999	0.73761547
18.480000	0.70185089
18.500000	0.65857673
18.520000	0.60832888
18.539999	0.55193520
18.559999	0.49039286
18.580000	0.42465541
18.600000	0.35553867
18.619999	0.28329581
18.639999	0.20769089
18.660000	0.12832245
18.680000	0.04476961
18.699999	-0.04327488
18.719999	-0.13585234
18.740000	-0.23219517
18.760000	-0.33068183
18.779999	-0.42884958
18.799999	-0.52302819
18.820000	-0.60828143
18.840000	-0.67884183
18.859999	-0.73121583
18.879999	-0.76401460
18.900000	-0.77883458
18.920000	-0.77807903
18.939999	-0.76544070
18.959999	-0.74366069
18.980000	-0.71413010
19.000000	-0.67727435
19.020000	-0.63353944
19.039999	-0.58384556
19.059999	-0.52864379
19.080000	-0.46909815
19.100000	-0.40557286
19.119999	-0.33892494
19.139999	-0.26907191
19.160000	-0.19624896
19.180000	-0.11956433
19.199999	-0.03836866
19.219999	0.04788570
19.240000	0.13903275
19.260000	0.23467569
19.279999	0.33321410
19.299999	0.43179721
19.320000	0.52637357
19.340000	0.61226404
19.359999	0.68482381
19.379999	0.74014044
19.400000	0.77800912
19.420000	0.79955733
19.439999	0.80774570
19.459999	0.80433500
19.480000	0.79192054
19.500000	0.77066064
19.520000	0.74103469
19.539999	0.70275927
19.559999	0.65718156
19.580000	0.60503352
19.600000	0.54717916
19.619999	0.48452675
19.639999	0.41793248
19.660000	0.34809855
19.680000	0.27520356
19.699999	0.19889221
19.719999	0.11870469
19.740000	0.03394763
19.760000	-0.05537221
19.779999	-0.14909419
19.799999	-0.24618615
19.820000	-0.34525293
19.840000	-0.44355321
19.859999	-0.53748506
19.879999	-0.62192708
19.900000	-0.69144231
19.920000	-0.74712509
19.939999	-0.78157818
19.959999	-0.79852295
19.980000	-0.79697895
20.000000	-0.78527063
20.020000	-0.76446068
20.039999	-0.73569381
20.059999	-0.70314270

