Time	Knee_Angle_left_4.84 X
14.200000	165.48397827
14.219999	160.37963867
14.240000	154.31265259
14.259999	147.69412231
14.280000	141.20002747
14.299999	135.36395264
14.320000	130.67762756
14.340000	127.31540680
14.360000	125.32769775
14.380000	124.66098022
14.400000	125.29051971
14.420000	127.09864807
14.440000	129.97946167
14.460000	133.80632019
14.480000	138.54759216
14.500000	144.13719177
14.520000	150.56135559
14.540000	157.61755371
14.559999	164.97497559
14.580000	171.86331177
14.599999	177.22019958
14.620000	179.76205444
14.639999	179.06278992
14.660000	179.64732361
14.679999	176.79553223
14.700000	173.13575745
14.719999	169.67840576
14.740000	166.97879028
14.759999	165.02629089
14.780000	163.84518433
14.799999	163.59304810
14.820000	164.20541382
14.839999	165.30158997
14.860000	166.70510864
14.880000	168.36920166
14.900000	170.23754883
14.920000	172.08383179
14.940000	173.75666809
14.960000	175.25186157
14.980000	176.60238647
15.000000	177.74900818
15.020000	178.65789795
15.040000	179.31146240
15.059999	179.67665100
15.080000	179.72813416
15.099999	179.47338867
15.120000	178.89849854
15.139999	178.00042725
15.160000	176.79627991
15.179999	175.33636475
15.200000	173.54319763
15.219999	171.18251038
15.240000	167.85603333
15.259999	163.25765991
15.280000	157.35006714
15.299999	150.48446655
15.320000	143.34732056
15.339999	136.67158508
15.360000	131.07377625
15.380000	126.85374451
15.400000	124.10877991
15.420000	122.78279877
15.440000	122.81230164
15.460000	124.10009766
15.480000	126.55661011
15.500000	130.00979614
15.520000	134.28570557
15.540000	139.25875854
15.559999	144.92370605
15.580000	151.24467468
15.599999	158.10513306
15.620000	165.16036987
15.639999	171.78019714
15.660000	177.03250122
15.679999	179.83578491
15.700000	178.74444580
15.719999	179.37182617
15.740000	178.58825684
15.759999	175.49664307
15.780000	172.21881104
15.799999	169.35258484
15.820000	167.10812378
15.839999	165.51919556
15.860000	164.85942078
15.880000	165.05282593
15.900000	165.69752502
15.920000	166.48020935
15.940000	167.43605042
15.960000	168.65635681
15.980000	170.05830383
16.000000	171.43121338
16.020000	172.76901245
16.039999	174.11351013
16.059999	175.47346497
16.080000	176.67021179
16.100000	177.69387817
16.119999	178.44964600
16.139999	178.94781494
