Time	Step_Length_2 X
18.299999	-0.18376875	
18.320000	-0.16420698	
18.340000	-0.14157546	
18.359999	-0.11566746	
18.379999	-0.08655703	
18.400000	-0.05444050	
18.420000	-0.01953101	
18.440001	0.01745307	
18.459999	0.05527329	
18.480000	0.09259635	
18.500000	0.12821162	
18.520000	0.16066194	
18.539999	0.18872285	
18.559999	0.21114326	
18.580000	0.22750175	
18.600000	0.23791671	
18.619999	0.24337816	
18.639999	0.24536592	
18.660000	0.24545479	
18.680000	0.24491131	
18.699999	0.24403536	
18.719999	0.24266696	
18.740000	0.24023175	
18.760000	0.23667151	
18.779999	0.23134154	
18.799999	0.22402751	
18.820000	0.21397704	
18.840000	0.20144391	
18.859999	0.18644303	
18.879999	0.16939676	
18.900000	0.14994514	
18.920000	0.12816465	
18.939999	0.10387701	
18.959999	0.07735139	
18.980000	0.04858249	
19.000000	0.01778752	
19.020000	-0.01391166	
19.039999	-0.04713154	
19.059999	-0.08153248	
19.080000	-0.11701453	
19.100000	-0.15102434	
19.119999	-0.18187451	
19.139999	-0.20643985	
19.160000	-0.22373474	
19.180000	-0.23355764	
19.199999	-0.23800880	
19.219999	-0.23874599	
19.240000	-0.23764265	
19.260000	-0.23565370	
19.279999	-0.23247409	
19.299999	-0.22729510	
19.320000	-0.22009385	
19.340000	-0.21082401	
19.359999	-0.19926548	
19.379999	-0.18514025	
19.400000	-0.16858506	
19.420000	-0.14941239	
19.439999	-0.12749445	
19.459999	-0.10269773	
19.480000	-0.07555670	
19.500000	-0.04627877	
19.520000	-0.01527262	
19.539999	0.01738888	
19.559999	0.05076385	
19.580000	0.08417410	
19.600000	0.11625940	
19.619999	0.14525396	
19.639999	0.16887367	
19.660000	0.18590552	
19.680000	0.19640023	
19.699999	0.20137668	
19.719999	0.20227557	
19.740000	0.20055848	
19.760000	0.19705772	
19.779999	0.19175136	
19.799999	0.18413794	
19.820000	0.17394245	
19.840000	0.16103148	
19.859999	0.14532042	
19.879999	0.12671781	
19.900000	0.10513836	
19.920000	0.08070540	
19.939999	0.05360335	
19.959999	0.02420282	
19.980000	-0.00676453	
20.000000	-0.03918892	
20.020000	-0.07285929	
20.039999	-0.10763407	
20.059999	-0.14214808	
20.080000	-0.17553377	
20.100000	-0.20575041	
20.119999	-0.23089474	
20.139999	-0.24886185	
20.160000	-0.26030248	
20.180000	-0.26630843	
20.199999	-0.26850259	
20.219999	-0.26811832	
20.240000	-0.26663309	
20.260000	-0.26396674	
20.279999	-0.25953251	
20.299999	-0.25261706	
20.320000	-0.24343598	
20.340000	-0.23208892	
20.359999	-0.21853989	
20.379999	-0.20252377	
20.400000	-0.18369651	
20.420000	-0.16166389	
20.439999	-0.13614261	
20.459999	-0.10698527	
20.480000	-0.07464647	
20.500000	-0.03983265	
20.520000	-0.00372702	
20.539999	0.03280246	
20.559999	0.06850028	
20.580000	0.10239255	
20.600000	0.13243091	
20.619999	0.15702349	
20.639999	0.17478496	
20.660000	0.18597692	
