Time	Right_paced_y_velocity X
14.340000	0.55430943	
14.360000	0.40536693	
14.380000	0.26473561	
14.400000	0.14953788	
14.420000	0.05770708	
14.440000	-0.05402693	
14.460000	-0.25529772	
14.480000	-0.53405356	
14.500000	-0.76826966	
14.520000	-0.85790133	
14.540000	-0.78896070	
14.559999	-0.59303439	
14.580000	-0.32749280	
14.599999	-0.09922648	
14.620000	0.00707345	
14.639999	0.01956807	
14.660000	0.01511145	
14.679999	0.03736303	
14.700000	0.10720878	
14.719999	0.23645042	
14.740000	0.39926600	
14.759999	0.55837649	
14.780000	0.67030084	
14.799999	0.70252252	
14.820000	0.63985711	
14.839999	0.49818197	
14.860000	0.33016199	
14.880000	0.15354939	
14.900000	-0.04123184	
14.920000	-0.29624310	
14.940000	-0.57547355	
14.960000	-0.78544414	
14.980000	-0.85050762	
15.000000	-0.77163231	
15.020000	-0.57888776	
15.040000	-0.32679641	
15.059999	-0.11533476	
15.080000	-0.00367345	
15.099999	0.01948065	
15.120000	0.03515319	
15.139999	0.08962499	
15.160000	0.20114306	
15.179999	0.35602280	
15.200000	0.52202117	
15.219999	0.65167201	
15.240000	0.70566547	
15.259999	0.65946615	
15.280000	0.53362775	
15.299999	0.37972665	
15.320000	0.24457510	
15.339999	0.15238240	
15.360000	0.08857278	
15.380000	0.04197894	
15.400000	-0.00178299	
15.420000	-0.05128350	
15.440000	-0.13932595	
15.460000	-0.29434171	
15.480000	-0.52370679	
15.500000	-0.74234498	
15.520000	-0.85652399	
15.540000	-0.82549405	
15.559999	-0.66548264	
15.580000	-0.42516953	
15.599999	-0.18126038	
15.620000	-0.02817008	
15.639999	0.02110469	
15.660000	0.03171624	
15.679999	0.07618582	
15.700000	0.16462032	
15.719999	0.29425779	
15.740000	0.43593055	
15.759999	0.55800563	
15.780000	0.62734669	
15.799999	0.62349647	
15.820000	0.54674888	
15.839999	0.42254195	
15.860000	0.29174492	
15.880000	0.17179617	
15.900000	0.06084794	
15.920000	-0.06583967	
15.940000	-0.23567836	
15.960000	-0.46870410	
15.980000	-0.68993247	
16.000000	-0.80716819	
16.020000	-0.77809060	
16.039999	-0.62701821	
16.059999	-0.39895234	
16.080000	-0.16911681	
16.100000	-0.02943605	
16.119999	0.01226595	
16.139999	0.02695638	
16.160000	0.08690993	
16.180000	0.18814397	
16.199999	0.32691795	
16.219999	0.47934195	
16.240000	0.60882533	
16.260000	0.66803706	
16.279999	0.64551467	
16.299999	0.55568403	
16.320000	0.41747412	
16.340000	0.25525367	
16.359999	0.09078057	
16.379999	-0.06230719	
16.400000	-0.22715639	
16.420000	-0.44412553	
16.440001	-0.66519237	
16.459999	-0.79370272	
16.480000	-0.78407454	
16.500000	-0.66086173	
16.520000	-0.45808104	
16.539999	-0.22780558	
16.559999	-0.05727290	
16.580000	0.00600063	
16.600000	0.00470777	
16.619999	0.00973660	
16.639999	0.04476506	
16.660000	0.12423044	
16.680000	0.24835272	
16.699999	0.39149198	
16.719999	0.52529824	
16.740000	0.60728717	
16.760000	0.61349064	
16.779999	0.54709387	
16.799999	0.43950346	
16.820000	0.32461688	
16.840000	0.22614582	
16.859999	0.16003984	
16.879999	0.11031590	
16.900000	0.06660134	
16.920000	0.00731622	
16.940001	-0.08880387	
16.959999	-0.27074289	
16.980000	-0.52113932	
17.000000	-0.74488986	
17.020000	-0.84495670	
17.039999	-0.79795569	
17.059999	-0.62908292	
17.080000	-0.38556322	
17.100000	-0.15894745	
17.119999	-0.02602251	
17.139999	0.00618634	
17.160000	0.00918557	
17.180000	0.04172957	
17.199999	0.12304505	
17.219999	0.24403460	
17.240000	0.38082188	
17.260000	0.49649930	
17.279999	0.56528413	
17.299999	0.56378466	
17.320000	0.50536215	
17.340000	0.42032534	
17.359999	0.33899140	
17.379999	0.27074897	
17.400000	0.20658877	
17.420000	0.13416970	
17.440001	0.02944940	
17.459999	-0.12107760	
17.480000	-0.35051405	
17.500000	-0.60575032	
17.520000	-0.78731817	
17.539999	-0.82175827	
17.559999	-0.72285211	
17.580000	-0.52628732	
17.600000	-0.28602216	
17.619999	-0.09367319	
17.639999	-0.00285556	
17.660000	0.00847193	
17.680000	0.02446782	
17.699999	0.07414678	
17.719999	0.16244017	
17.740000	0.27071247	
17.760000	0.38585043	
17.779999	0.48889765	
17.799999	0.55478323	
17.820000	0.56224203	
17.840000	0.51229221	
17.859999	0.42591012	
17.879999	0.31629461	
17.900000	0.20608173	
17.920000	0.10579569	
17.940001	0.01982385	
17.959999	-0.08104571	
17.980000	-0.24168888	
18.000000	-0.47366238	
18.020000	-0.68890363	
18.039999	-0.78964961	
18.059999	-0.74642456	
18.080000	-0.58616757	
18.100000	-0.35568500	
18.119999	-0.13588065	
18.139999	-0.01256441	
18.160000	0.01793627	
18.180000	0.02674627	
18.199999	0.07488085	
18.219999	0.16656300	
18.240000	0.29491758	
18.260000	0.42801052	
18.279999	0.53500354	
18.299999	0.58039552	
18.320000	0.55192131	
18.340000	0.46088439	
18.359999	0.33636454	
18.379999	0.21317053	
18.400000	0.09419741	
18.420000	-0.02508740	
18.440001	-0.17861857	
18.459999	-0.39019284	
18.480000	-0.60196513	
18.500000	-0.71874839	
18.520000	-0.70311457	
18.539999	-0.57821089	
18.559999	-0.37841702	
18.580000	-0.16866674	
18.600000	-0.02978716	
18.619999	0.00980670	
18.639999	0.00297023	
18.660000	0.00271692	
18.680000	0.00934098	
18.699999	0.04067240	
18.719999	0.11579688	
18.740000	0.22698539	
18.760000	0.35001943	
18.779999	0.44943136	
18.799999	0.49974108	
18.820000	0.47908574	
18.840000	0.40086010	
18.859999	0.29937282	
18.879999	0.20422636	
18.900000	0.13066575	
18.920000	0.06224179	
18.939999	-0.02436106	
18.959999	-0.18082285	
18.980000	-0.38800958	
19.000000	-0.56924605	
19.020000	-0.64692432	
19.039999	-0.60869807	
19.059999	-0.47129169	
19.080000	-0.27537271	
19.100000	-0.10314058	
19.119999	-0.01289943	
19.139999	0.00005402	
19.160000	0.00011120	
19.180000	0.00465996	
19.199999	0.02692241	
19.219999	0.08242214	
19.240000	0.18627834	
19.260000	0.32145697	
19.279999	0.45449916	
19.299999	0.53946370	
19.320000	0.53874868	
19.340000	0.42694902	
19.359999	0.18247794	
19.379999	-0.14694166	
19.400000	-0.44649324	
19.420000	-0.61102289	
19.439999	-0.62442183	
19.459999	-0.51154637	
19.480000	-0.31579697	
19.500000	-0.12052806	
19.520000	-0.00281644	
19.539999	0.05107035	
19.559999	0.12374584	
19.580000	0.24539335	
19.600000	0.39401200	
19.619999	0.52427888	
19.639999	0.58536869	
19.660000	0.53842276	
19.680000	0.37274456	
19.699999	0.08931430	
19.719999	-0.25167423	
19.740000	-0.52888584	
19.760000	-0.65466887	
19.779999	-0.62458509	
19.799999	-0.48365492	
19.820000	-0.27959552	
19.840000	-0.09250550	
19.859999	0.02741676	
19.879999	0.11640602	
19.900000	0.23434173	
19.920000	0.38658804	
19.939999	0.51875681	
19.959999	0.58530211	
19.980000	0.55880040	
20.000000	0.44627139	
20.020000	0.27808785	
20.039999	0.08384154	
20.059999	-0.12532170	
20.080000	-0.35542819	
20.100000	-0.54893106	
20.119999	-0.64204842	
20.139999	-0.60607606	
20.160000	-0.48040995	
20.180000	-0.30551937	
20.199999	-0.12543432	
20.219999	-0.00823413	
20.240000	0.04018829	
20.260000	0.09476775	
20.279999	0.21946441	
20.299999	0.38664716	
20.320000	0.54479390	
20.340000	0.65345377	
20.359999	0.67830569	
20.379999	0.60266727	
20.400000	0.43486851	
