Time	Left_paced_y_velocity X
10.340000	0.33109853	
10.360000	0.24153446	
10.380000	0.17589563	
10.400000	0.13680322	
10.420000	0.11233981	
10.440000	0.07467649	
10.460000	0.03269084	
10.480000	-0.02310887	
10.500000	-0.09553844	
10.520000	-0.22891814	
10.540000	-0.40368211	
10.559999	-0.54873788	
10.580000	-0.60359514	
10.599999	-0.55785358	
10.620000	-0.42712423	
10.639999	-0.23874390	
10.660000	-0.07189727	
10.679999	0.02060948	
10.700000	0.04043913	
10.719999	0.03525812	
10.740000	0.02785585	
10.760000	0.02283521	
10.780000	0.02112003	
10.800000	0.01972745	
10.820000	0.03275690	
10.840000	0.01520179	
10.860000	-0.04722623	
10.880000	-0.06506527	
10.900000	0.02307313	
10.920000	0.17606844	
10.940000	0.31987038	
10.960000	0.45147750	
10.980000	0.51644897	
11.000000	0.46162754	
11.020000	0.32105592	
11.040000	0.21166727	
11.059999	0.15683575	
11.080000	0.11131494	
11.099999	0.07402282	
11.120000	0.04047079	
11.139999	0.01987997	
11.160000	0.00156155	
11.179999	-0.00614772	
11.200000	-0.01958564	
11.219999	-0.05189759	
11.240000	-0.19911414	
11.259999	-0.40850860	
11.280000	-0.57185847	
11.300000	-0.61905384	
11.320000	-0.55621940	
11.340000	-0.38672328	
11.360000	-0.15159678	
11.380000	0.01892825	
11.400000	0.06817850	
11.420000	0.03557502	
11.440000	0.01706219	
11.460000	-0.00195640	
11.480000	0.00141927	
11.500000	0.02677359	
11.520000	0.01166394	
11.540000	-0.04800668	
11.559999	-0.11739229	
11.580000	-0.09979440	
11.599999	0.01662236	
11.620000	0.18583560	
11.639999	0.35590267	
11.660000	0.47212622	
11.679999	0.48735985	
11.700000	0.38564104	
11.719999	0.25631490	
11.740000	0.15600292	
11.759999	0.11103155	
11.780000	0.07772055	
11.800000	0.05829500	
11.820000	0.05362388	
11.840000	0.05062832	
11.860000	0.04304605	
11.880000	0.00838249	
11.900000	-0.07852214	
11.920000	-0.23574857	
11.940000	-0.40820238	
11.960000	-0.51905930	
11.980000	-0.53035969	
12.000000	-0.44630584	
12.020000	-0.28784400	
12.040000	-0.11434147	
12.059999	-0.00238133	
12.080000	0.03316227	
12.099999	0.02775160	
12.120000	0.02131076	
12.139999	0.02217770	
12.160000	0.03336667	
12.179999	0.04323918	
12.200000	0.05098374	
12.219999	0.06888220	
12.240000	0.11987526	
12.259999	0.19725548	
12.280000	0.27515870	
12.300000	0.32017952	
12.320000	0.31839117	
12.340000	0.27267793	
12.360000	0.20018393	
12.380000	0.13024125	
12.400000	0.08170105	
12.420000	0.05839887	
12.440000	0.03945373	
12.460000	0.02261741	
12.480000	-0.00197080	
12.500000	-0.02486953	
12.520000	-0.05284999	
12.540000	-0.07861725	
12.559999	-0.12706351	
12.580000	-0.20649643	
12.599999	-0.30285257	
12.620000	-0.37486476	
12.639999	-0.38287774	
12.660000	-0.32503095	
12.679999	-0.21287133	
12.700000	-0.08824787	
12.719999	0.01245470	
12.740000	0.05302160	
12.759999	0.04910986	
12.780000	0.03709456	
12.799999	-0.00552386	
12.820000	-0.07179607	
12.840000	-0.13155088	
12.860000	-0.17046033	
12.880000	-0.12472298	
12.900000	0.02215839	
12.920000	0.23577283	
12.940000	0.39780733	
12.960000	0.47674021	
12.980000	0.46427101	
13.000000	0.38537467	
13.020000	0.26939550	
13.040000	0.17986955	
13.059999	0.14321674	
13.080000	0.09033924	
13.099999	0.03890484	
13.120000	-0.01049448	
13.139999	-0.03668053	
13.160000	-0.04552890	
13.179999	-0.03666063	
13.200000	-0.02836975	
13.219999	-0.02716741	
13.240000	-0.06403393	
13.259999	-0.16588493	
13.280000	-0.30983514	
13.299999	-0.43096375	
13.320000	-0.47168276	
13.340000	-0.41679922	
13.360000	-0.28060365	
13.380000	-0.10765675	
13.400000	-0.00505249	
13.420000	0.03879019	
13.440000	0.10266437	
13.460000	0.23094805	
13.480000	0.37842190	
13.500000	0.50127620	
13.520000	0.55394596	
13.540000	0.45658341	
13.559999	0.19357687	
13.580000	-0.15064907	
13.599999	-0.42114875	
13.620000	-0.57278490	
13.639999	-0.57239449	
13.660000	-0.43020663	
13.679999	-0.25069314	
13.700000	-0.12409055	
13.719999	-0.08445354	
13.740000	-0.03449854	
13.759999	0.08074415	
13.780000	0.26242101	
13.799999	0.47581217	
13.820000	0.65477318	
13.840000	0.71550667	
13.860000	0.61849678	
13.880000	0.45493153	
13.900000	0.29527688	
13.920000	0.17681642	
13.940000	0.07649495	
13.960000	-0.00671530	
13.980000	-0.06929491	
14.000000	-0.12991980	
14.020000	-0.21713690	
14.040000	-0.37159359	
14.059999	-0.54802030	
14.080000	-0.66073281	
14.099999	-0.66367382	
14.120000	-0.55811590	
14.139999	-0.37376288	
14.160000	-0.15177584	
14.179999	0.01318200	
14.200000	0.08569220	
14.219999	0.09377924	
14.240000	0.09375261	
14.259999	0.10747644	
14.280000	0.16214922	
14.299999	0.25285360	
14.320000	0.34084424	
14.340000	0.39829534	
14.360000	0.41513219	
14.380000	0.37904012	
14.400000	0.29800442	
14.420000	0.20976524	
14.440000	0.14538154	
14.460000	0.10270950	
14.480000	0.05452814	
14.500000	0.00378101	
14.520000	-0.05397878	
14.540000	-0.13551539	
14.559999	-0.27494717	
14.580000	-0.44170979	
14.599999	-0.56125474	
14.620000	-0.58627301	
14.639999	-0.51186585	
14.660000	-0.36124536	
14.679999	-0.17004323	
14.700000	-0.01862291	
14.719999	0.05406996	
14.740000	0.06283569	
14.759999	0.06311626	
14.780000	0.03492614	
14.799999	-0.02614190	
14.820000	-0.03139263	
14.839999	0.05709204	
14.860000	0.18070121	
14.880000	0.28846785	
14.900000	0.38237804	
14.920000	0.42513862	
14.940000	0.36669794	
14.960000	0.25568601	
14.980000	0.18901266	
15.000000	0.15748940	
15.020000	0.11263610	
15.040000	0.04978159	
15.059999	-0.03195087	
15.080000	-0.16319832	
15.099999	-0.32290617	
15.120000	-0.46248904	
15.139999	-0.51937842	
15.160000	-0.47388545	
15.179999	-0.34241208	
15.200000	-0.17254712	
15.219999	-0.03159287	
15.240000	0.04524003	
15.259999	0.05242139	
15.280000	0.03880310	
15.299999	0.04097805	
15.320000	0.01858888	
15.339999	0.00996658	
15.360000	0.06182825	
15.380000	0.18066135	
15.400000	0.30407882	
15.420000	0.40102077	
15.440000	0.45542997	
15.460000	0.41826835	
15.480000	0.28626451	
15.500000	0.12769836	
15.520000	0.01687422	
15.540000	-0.09937599	
15.559999	-0.25318131	
15.580000	-0.41357777	
15.599999	-0.51596826	
15.620000	-0.51684570	
15.639999	-0.42137593	
15.660000	-0.25456202	
15.679999	-0.07088952	
15.700000	0.05061661	
15.719999	0.08688901	
15.740000	0.06684522	
15.759999	0.04989167	
15.780000	0.00201141	
15.799999	-0.00119569	
15.820000	0.07633042	
15.839999	0.22012334	
15.860000	0.34668189	
15.880000	0.43022546	
15.900000	0.45818511	
15.920000	0.39641467	
15.940000	0.26915640	
15.960000	0.15097404	
15.980000	0.11474268	
16.000000	0.09072087	
16.020000	0.04657903	
16.039999	-0.13540171	
16.059999	-0.38835254	
16.080000	-0.59059364	
16.100000	-0.65132523	
16.119999	-0.57395244	
16.139999	-0.36563045	
16.160000	-0.09592010	
16.180000	0.08883988	
16.199999	0.14020777	
16.219999	0.05779748	
16.240000	-0.05189166	
16.260000	-0.15518975	
16.279999	-0.19695254	
16.299999	-0.12401655	
16.320000	0.05909003	
16.340000	0.29743314	
16.359999	0.48505908	
16.379999	0.56833839	
16.400000	0.53007740	
16.420000	0.39544171	
16.440001	0.22993667	
16.459999	0.12314563	
16.480000	0.08339848	
16.500000	0.04568291	
16.520000	0.00591535	
16.539999	-0.04079257	
16.559999	-0.11123346	
16.580000	-0.26256290	
16.600000	-0.42741978	
16.619999	-0.51789296	
16.639999	-0.48532188	
16.660000	-0.37727043	
16.680000	-0.21548449	
16.699999	-0.03578047	
16.719999	0.07724424	
16.740000	0.08442064	
16.760000	0.04314096	
16.779999	-0.00330893	
16.799999	-0.07773858	
16.820000	-0.14455263	
16.840000	-0.11974122	
16.859999	-0.00268022	
16.879999	0.17664047	
16.900000	0.35665604	
16.920000	0.48255950	
16.940001	0.49959412	
16.959999	0.39439148	
16.980000	0.25895619	
17.000000	0.14302111	
17.020000	0.08454350	
17.039999	0.03090242	
17.059999	-0.03542259	
17.080000	-0.15795213	
17.100000	-0.31234640	
17.119999	-0.44420904	
17.139999	-0.48778492	
17.160000	-0.43114313	
17.180000	-0.28878266	
17.199999	-0.11169887	
17.219999	0.02382037	
17.240000	0.07410046	
17.260000	0.07338800	
17.279999	0.01021331	
17.299999	-0.09335071	
17.320000	-0.16510344	
17.340000	-0.10807063	
17.359999	0.04789368	
17.379999	0.22611676	
17.400000	0.40112978	
17.420000	0.51097053	
17.440001	0.49114922	
17.459999	0.34096235	
17.480000	0.20739311	
17.500000	0.13839588	
17.520000	0.11245014	
17.539999	0.06970428	
17.559999	-0.07532758	
17.580000	-0.26997900	
17.600000	-0.44566837	
17.619999	-0.49697945	
17.639999	-0.47856295	
17.660000	-0.39846465	
17.680000	-0.26911783	
17.699999	-0.16166642	
17.719999	-0.13525251	
17.740000	-0.15956610	
17.760000	-0.12143368	
17.779999	-0.07286056	
17.799999	-0.02428777	
17.820000	-0.00220841	
17.840000	0.08500333	
17.859999	0.22520396	
17.879999	0.36650750	
17.900000	0.44677654	
17.920000	0.46856898	
17.940001	0.43319833	
17.959999	0.33015472	
17.980000	0.20163865	
18.000000	0.10715433	
18.020000	0.06404355	
18.039999	0.00532375	
18.059999	-0.14796419	
18.080000	-0.32767493	
18.100000	-0.43339005	
18.119999	-0.43289089	
18.139999	-0.35939431	
18.160000	-0.22167641	
18.180000	-0.04710088	
18.199999	0.06859312	
18.219999	0.08272848	
18.240000	0.05305618	
18.260000	0.01059969	
18.279999	-0.07869580	
18.299999	-0.09921524	
18.320000	0.00359180	
18.340000	0.14664499	
18.359999	0.27299958	
18.379999	0.38671961	
18.400000	0.43521059	
18.420000	0.35271698	
18.440001	0.18557452	
18.459999	0.07062341	
18.480000	0.01323738	
18.500000	-0.03578413	
18.520000	-0.08065554	
18.539999	-0.18588844	
18.559999	-0.31230301	
