Time	Knöchel re X	Knöchel re Y	Knöchel re Weg	Knöchel re v(X)	Knöchel re v(Y)	Knöchel re v(Bahn)	Knöchel re a(X)	Knöchel re a(Y)	Knöchel re a(Bahn)
3.720000	-0.96634507	-0.43159062	2.15178514	0.56416368	0.45494980	0.72474819	6.13529634	-6.62625313	1.54261482	
3.740000	-0.95395565	-0.42338181	2.16664720	0.67957813	0.28727144	0.73780167	5.92263508	-8.09008121	2.60189223	
3.760000	-0.93944544	-0.41938192	2.18169856	0.79809791	0.09367984	0.80357713	5.66749048	-8.62386608	3.94825387	
3.780000	-0.92190832	-0.41977727	2.19924021	0.91596359	-0.09584349	0.92096430	5.23956966	-8.19984055	5.03189802	
3.800000	-0.90259588	-0.42392364	2.21899271	1.02390361	-0.26469183	1.05756342	4.48686171	-6.95045900	5.27266932	
3.820000	-0.88038820	-0.43181035	2.24255919	1.11103880	-0.39328346	1.17859197	3.25987458	-5.15300131	4.36049986	
3.840000	-0.85705960	-0.44164383	2.26787567	1.16986072	-0.47770581	1.26363635	1.54401946	-3.14971614	2.43992162	
3.860000	-0.83224279	-0.45278400	2.29507828	1.18997395	-0.51349223	1.29603720	-0.64376521	-1.20343447	-0.16739064	
3.880000	-0.80785817	-0.46357447	2.32174373	1.15995932	-0.51210165	1.26797223	-3.34046483	0.43883440	-3.24300098	
3.900000	-0.78396714	-0.47411340	2.34785604	1.07287323	-0.48012179	1.17540371	-6.46507311	1.59867096	-6.51529312	
3.920000	-0.76267618	-0.48306978	2.37095404	0.91709858	-0.42826790	1.01216757	-9.47297287	2.25788140	-9.20483685	
3.940000	-0.74469674	-0.49180263	2.39094210	0.68358606	-0.37022689	0.77740455	-11.62701321	2.54810500	-9.83106995	
3.960000	-0.73229551	-0.49799976	2.40480542	0.38805538	-0.31720039	0.50120163	-12.43694878	2.57341790	-8.04462337	
3.980000	-0.72684366	-0.50379109	2.41275907	0.09463674	-0.26912951	0.28528374	-11.70035267	2.46176457	-5.16897678	
4.000000	-0.73011780	-0.50805777	2.41813731	-0.14396429	-0.22221299	0.26477221	-9.51051521	2.33873892	-2.13786578	
4.020000	-0.73888254	-0.51271003	2.42806029	-0.30367810	-0.17611825	0.35105273	-6.52505970	2.23310065	0.49578166	
4.040000	-0.74787867	-0.51603955	2.43765283	-0.39004618	-0.13089125	0.41142258	-3.76785183	2.03174901	1.64809787	
4.060000	-0.75542569	-0.51823753	2.44551349	-0.41554031	-0.08883175	0.42492920	-1.86960387	1.68112183	1.23388040	
4.080000	-0.76206315	-0.51881713	2.45217609	-0.41256008	-0.05383812	0.41605812	-0.79523963	1.23048079	0.51299882	
4.100000	-0.77096921	-0.51932585	2.46109676	-0.41580456	-0.03565052	0.41733009	-0.28280541	0.75501710	0.15852967	
4.120000	-0.78019470	-0.51946235	2.47032332	-0.43191645	-0.02960909	0.43293014	-0.18880260	0.35239065	0.14605640	
4.140000	-0.78915453	-0.52055699	2.47934985	-0.43987465	-0.03202830	0.44103914	-0.27801719	0.10433169	0.26893046	
4.160000	-0.79761630	-0.52124959	2.48783994	-0.43587941	-0.03436703	0.43723214	-0.30071849	0.00722808	0.29982093	
