Time	Right_Heel_y_baseline X
15.080000	-0.04277292	
15.099999	-0.03619909	
15.120000	-0.02717251	
15.139999	-0.01465513	
15.160000	-0.00087924	
15.179999	0.01626300	
15.200000	0.03244682	
15.219999	0.04787098	
15.240000	0.05701321	
15.259999	0.05933414	
15.280000	0.05310053	
15.299999	0.03857562	
15.320000	0.01795466	
15.339999	-0.00616631	
15.360000	-0.02653016	
15.380000	-0.03984015	
15.400000	-0.04476365	
15.420000	-0.04352909	
15.440000	-0.03992857	
15.460000	-0.03354859	
15.480000	-0.02635595	
15.500000	-0.01538162	
15.520000	-0.00404006	
15.540000	0.00962243	
15.559999	0.02033761	
15.580000	0.02994370	
15.599999	0.03459456	
15.620000	0.03407584	
15.639999	0.02620911	
15.660000	0.01054564	
15.679999	-0.00869398	
15.700000	-0.02825396	
15.719999	-0.04041515	
15.740000	-0.04642011	
15.759999	-0.04592331	
15.780000	-0.04227959	
15.799999	-0.03734952	
15.820000	-0.02958432	
15.839999	-0.02105476	
15.860000	-0.00651021	
15.880000	0.00751317	
15.900000	0.02122029	
15.920000	0.02784386	
15.940000	0.02774560	
15.960000	0.01907275	
15.980000	0.00070025	
16.000000	-0.02013381	
16.020000	-0.03761216	
16.039999	-0.04543242	
16.059999	-0.04682195	
16.080000	-0.04618941	
16.100000	-0.04106735	
16.119999	-0.03300327	
16.139999	-0.02044639	
16.160000	-0.00694786	
16.180000	0.00939071	
16.199999	0.02712495	
16.219999	0.04542621	
16.240000	0.06149580	
16.260000	0.07324207	
16.279999	0.07894181	
16.299999	0.07705343	
16.320000	0.06880247	
16.340000	0.05324832	
16.359999	0.03310473	
16.379999	0.00936901	
16.400000	-0.01372333	
16.420000	-0.03238302	
16.440001	-0.04234387	
16.459999	-0.04631859	
16.480000	-0.04618941	
16.500000	-0.04291478	
16.520000	-0.03715301	
16.539999	-0.02784455	
16.559999	-0.01808453	
16.580000	-0.00413258	
16.600000	0.01026704	
16.619999	0.02450597	
16.639999	0.03424452	
16.660000	0.04021938	
16.680000	0.03897929	
16.699999	0.02921209	
16.719999	0.01246064	
16.740000	-0.00896542	
16.760000	-0.02714959	
16.779999	-0.03909913	
16.799999	-0.04316431	
16.820000	-0.04201573	
16.840000	-0.03943565	
