Time	Left_paced_y_baseline X
9.860000	0.03250819	
9.880000	0.02264492	
9.900000	0.00436559	
9.920000	-0.01283874	
9.940000	-0.02526915	
9.960000	-0.02840343	
9.980000	-0.02770448	
10.000000	-0.02680908	
10.020000	-0.02619983	
10.040000	-0.02642971	
10.059999	-0.02646068	
10.080000	-0.02617720	
10.099999	-0.02602056	
10.120000	-0.02609380	
10.139999	-0.02564137	
10.160000	-0.02508472	
10.179999	-0.02388354	
10.200000	-0.02323900	
10.219999	-0.02155077	
10.240000	-0.02050707	
10.260000	-0.01584467	
10.280000	-0.00791518	
10.300000	0.00457633	
10.320000	0.01411234	
10.340000	0.02203019	
10.360000	0.02544212	
10.380000	0.03016626	
10.400000	0.03219824	
10.420000	0.03543040	
10.440000	0.03668751	
10.460000	0.03857300	
10.480000	0.03920139	
10.500000	0.03789552	
10.520000	0.03581409	
10.540000	0.03099008	
10.559999	0.02341064	
10.580000	0.00744495	
10.599999	-0.01013692	
10.620000	-0.02312715	
10.639999	-0.02758379	
10.660000	-0.02684753	
10.679999	-0.02601324	
10.700000	-0.02502845	
10.719999	-0.02482471	
10.740000	-0.02397276	
10.760000	-0.02329260	
10.780000	-0.02268086	
10.800000	-0.02273864	
10.820000	-0.02245198	
10.840000	-0.02206913	
10.860000	-0.02099180	
10.880000	-0.01929490	
10.900000	-0.02414338	
10.920000	-0.02912638	
10.940000	-0.02533774	
10.960000	-0.01111005	
10.980000	0.00598392	
11.000000	0.01396702	
11.020000	0.02087196	
11.040000	0.02437178	
11.059999	0.02899621	
11.080000	0.03074255	
11.099999	0.03304453	
11.120000	0.03361782	
11.139999	0.03417346	
11.160000	0.03417346	
11.179999	0.03402198	
11.200000	0.03387500	
11.219999	0.03335364	
11.240000	0.03298394	
11.259999	0.03054496	
11.280000	0.02406266	
11.300000	0.00222708	
11.320000	-0.01533131	
11.340000	-0.02917665	
11.360000	-0.02749540	
11.380000	-0.02579434	
11.400000	-0.02343060	
11.420000	-0.02182576	
11.440000	-0.02246846	
11.460000	-0.02305441	
11.480000	-0.02306972	
11.500000	-0.02267037	
11.520000	-0.02234711	
11.540000	-0.02117357	
11.559999	-0.02010290	
11.580000	-0.02495138	
11.599999	-0.03047337	
11.620000	-0.03548349	
11.639999	-0.02499616	
11.660000	-0.01125887	
11.679999	0.00338764	
11.700000	0.01062733	
11.719999	0.01466765	
11.740000	0.01887643	
11.759999	0.02097449	
11.780000	0.02320872	
11.800000	0.02355729	
11.820000	0.02448797	
11.840000	0.02506991	
11.860000	0.02687618	
11.880000	0.02810066	
11.900000	0.02857074	
11.920000	0.02717014	
11.940000	0.02239191	
11.960000	0.01183283	
11.980000	-0.00440370	
12.000000	-0.01868698	
12.020000	-0.02627790	
12.040000	-0.02717263	
12.059999	-0.02556595	
12.080000	-0.02413173	
12.099999	-0.02359790	
12.120000	-0.02414155	
12.139999	-0.02400856	
12.160000	-0.02334738	
12.179999	-0.02189118	
12.200000	-0.02111997	
12.219999	-0.01994443	
12.240000	-0.01956406	
12.259999	-0.01722063	
12.280000	-0.01326987	
12.300000	-0.00498697	
12.320000	0.00335817	
12.340000	0.01115733	
12.360000	0.01462437	
12.380000	0.01717687	
12.400000	0.01826386	
12.420000	0.02018215	
12.440000	0.02101345	
12.460000	0.02184442	
12.480000	0.02184442	
12.500000	0.02154246	
12.520000	0.02124050	
12.540000	0.01956324	
12.559999	0.01818796	
12.580000	0.01488371	
12.599999	0.01209252	
12.620000	0.00436243	
12.639999	-0.00529559	
12.660000	-0.01672442	
12.679999	-0.02321437	
12.700000	-0.02428405	
12.719999	-0.02259365	
12.740000	-0.02048875	
12.759999	-0.01994742	
12.780000	-0.01927409	
12.799999	-0.01901507	
12.820000	-0.01853152	
12.840000	-0.01804362	
12.860000	-0.02417934	
12.880000	-0.02921477	
12.900000	-0.03451370	
12.920000	-0.03451370	
12.940000	-0.02391584	
12.960000	-0.01199345	
12.980000	0.00437342	
13.000000	0.00884937	
13.020000	0.01459008	
13.040000	0.01767509	
13.059999	0.02238042	
13.080000	0.02457370	
13.099999	0.02600293	
13.120000	0.02584978	
13.139999	0.02450778	
13.160000	0.02346641	
13.179999	0.02205915	
13.200000	0.02176318	
13.219999	0.02150051	
13.240000	0.02153380	
13.259999	0.02043600	
13.280000	0.01842199	
13.299999	0.01066445	
13.320000	-0.00178012	
13.340000	-0.01642263	
13.360000	-0.02532175	
13.380000	-0.02714001	
13.400000	-0.02459782	
13.420000	-0.02163251	
13.440000	-0.01993860	
13.460000	-0.02445051	
13.480000	-0.01973818	
13.500000	-0.00971811	
13.520000	0.01026978	
13.540000	0.02299632	
13.559999	0.03042378	
13.580000	0.03149179	
13.599999	0.02534108	
