Time	Paced_right_y_baseline X
20.279999	-0.00752807	
20.299999	-0.00743699	
20.320000	-0.00734591	
20.340000	-0.00599651	
20.359999	-0.00470147	
20.379999	-0.00085084	
20.400000	0.00262971	
20.420000	0.00893502	
20.439999	0.01297642	
20.459999	0.01796652	
20.480000	0.02009515	
20.500000	0.02220838	
20.520000	0.02248482	
20.539999	0.02079566	
20.559999	0.01802510	
20.580000	0.01193683	
20.600000	0.00394695	
20.619999	-0.00343147	
20.639999	-0.00749217	
20.660000	-0.00763302	
20.680000	-0.00758055	
20.699999	-0.00758055	
20.719999	-0.00763302	
20.740000	-0.00754194	
20.760000	-0.00739838	
20.779999	-0.00654754	
20.799999	-0.00461952	
20.820000	0.00040697	
20.840000	0.00530243	
20.859999	0.01144861	
20.879999	0.01449680	
20.900000	0.01664303	
20.920000	0.01616226	
20.939999	0.01325625	
20.959999	0.00884427	
20.980000	0.00095190	
21.000000	-0.00436018	
21.020000	-0.00778826	
21.039999	-0.00758055	
21.059999	-0.00758055	
21.080000	-0.00763302	
21.100000	-0.00768550	
21.119999	-0.00768550	
21.139999	-0.00763302	
21.160000	-0.00758055	
21.180000	-0.00602530	
21.199999	-0.00448240	
21.219999	-0.00054070	
21.240000	0.00223121	
21.260000	0.00735827	
21.279999	0.01008618	
21.299999	0.01350410	
21.320000	0.01452693	
21.340000	0.01422390	
21.359999	0.01289804	
21.379999	0.00995752	
21.400000	0.00820607	
21.420000	0.00263751	
21.439999	-0.00162517	
21.459999	-0.00609945	
21.480000	-0.00675678	
21.500000	-0.00715528	
21.520000	-0.00720659	
21.539999	-0.00720659	
21.559999	-0.00715682	
21.580000	-0.00664319	
21.600000	-0.00618105	
21.619999	-0.00361887	
21.639999	-0.00001778	
21.660000	0.00614294	
21.680000	0.01024920	
21.699999	0.01458652	
21.719999	0.01636438	
21.740000	0.01768585	
21.760000	0.01736251	
21.779999	0.01485924	
21.799999	0.00985780	
21.820000	0.00162652	
21.840000	-0.00447038	
21.859999	-0.00750859	
21.879999	-0.00740583	
21.900000	-0.00725636	
21.920000	-0.00725804	
21.939999	-0.00720659	
21.959999	-0.00715682	
21.980000	-0.00571093	
22.000000	-0.00383250	
22.020000	0.00132045	
22.039999	0.00556754	
22.059999	0.01124986	
