Time	Hip_Knee_Angle_right X
13.940000	113.09524536	
13.960000	113.04409027	
13.980000	112.81755829	
14.000000	112.46611786	
14.020000	112.01389313	
14.040000	111.51352692	
14.059999	110.95962524	
14.080000	110.34416199	
14.099999	109.58786774	
14.120000	108.68560791	
14.139999	107.60083771	
14.160000	106.36263275	
14.179999	104.97065735	
14.200000	103.54315186	
14.219999	102.12995148	
14.240000	100.83901978	
14.259999	99.67449188	
14.280000	98.71608734	
14.299999	97.90235138	
14.320000	97.24743652	
14.340000	96.67242432	
14.360000	96.18740082	
14.380000	95.72813416	
14.400000	95.32477570	
14.420000	94.93180847	
14.440000	94.57890320	
14.460000	94.25406647	
14.480000	94.01020050	
14.500000	93.83180237	
14.520000	93.73369598	
14.540000	93.71903229	
14.559999	93.78669739	
14.580000	93.94314575	
14.599999	94.20784760	
14.620000	94.65049744	
14.639999	95.26067352	
14.660000	96.07667542	
14.679999	97.04838562	
14.700000	98.22831726	
14.719999	99.55599213	
14.740000	101.11116028	
14.759999	102.85390472	
14.780000	104.82069397	
14.799999	106.84405518	
14.820000	108.80644989	
14.839999	110.47933960	
14.860000	111.79150391	
14.880000	112.65391541	
14.900000	113.12023163	
14.920000	113.23458862	
14.940000	113.10411835	
14.960000	112.77269745	
14.980000	112.29626465	
15.000000	111.69808960	
15.020000	111.02208710	
15.040000	110.27896118	
15.059999	109.46607208	
15.080000	108.59315491	
15.099999	107.66938782	
15.120000	106.72802734	
15.139999	105.79209900	
15.160000	104.91450500	
15.179999	104.11200714	
15.200000	103.37729645	
15.219999	102.68792725	
15.240000	102.03912354	
15.259999	101.42412567	
15.280000	100.82850647	
15.299999	100.24514008	
15.320000	99.68629456	
15.339999	99.14269257	
15.360000	98.63835907	
15.380000	98.16008759	
15.400000	97.75223541	
15.420000	97.39870453	
15.440000	97.14422607	
15.460000	96.97997284	
15.480000	96.92527771	
15.500000	97.00335693	
15.520000	97.24515533	
15.540000	97.69271088	
15.559999	98.36377716	
15.580000	99.30889893	
15.599999	100.52264404	
15.620000	102.01264954	
15.639999	103.72314453	
15.660000	105.59207916	
15.679999	107.46023560	
15.700000	109.16605377	
15.719999	110.53977203	
15.740000	111.50362396	
15.759999	112.03500366	
15.780000	112.19884491	
15.799999	112.09365845	
15.820000	111.80880737	
15.839999	111.40950012	
15.860000	110.90023804	
15.880000	110.29798126	
15.900000	109.56156158	
15.920000	108.71904755	
15.940000	107.77221680	
15.960000	106.81700897	
15.980000	105.85640717	
16.000000	104.96444702	
16.020000	104.13242340	
16.039999	103.38874054	
16.059999	102.65111542	
16.080000	101.94240570	
16.100000	101.24318695	
16.119999	100.60711670	
16.139999	99.99378967	
16.160000	99.43954468	
16.180000	98.91599274	
16.199999	98.45842743	
16.219999	98.02872467	
16.240000	97.66780090	
16.260000	97.34682465	
16.279999	97.10502625	
16.299999	96.90676117	
16.320000	96.77148438	
16.340000	96.68268585	
16.359999	96.66304779	
16.379999	96.69274902	
16.400000	96.78164673	
16.420000	96.95045471	
16.440001	97.20970154	
16.459999	97.58276367	
16.480000	98.09203339	
