Time	Paced_left_y_baseline X
17.699999	-0.01236679	
17.719999	-0.01204933	
17.740000	-0.01173188	
17.760000	-0.01173188	
17.779999	-0.01121703	
17.799999	-0.01070216	
17.820000	-0.00725992	
17.840000	-0.00101790	
17.859999	0.00885770	
17.879999	0.01828235	
17.900000	0.02703458	
17.920000	0.03244580	
17.940001	0.03562053	
17.959999	0.03615338	
17.980000	0.03401172	
18.000000	0.02952531	
18.020000	0.02086453	
18.039999	0.01027516	
18.059999	-0.00172596	
18.080000	-0.00960049	
18.100000	-0.01263615	
18.119999	-0.01215594	
18.139999	-0.01158425	
18.160000	-0.01158425	
18.180000	-0.01108603	
18.199999	-0.01058042	
18.219999	-0.00793956	
18.240000	-0.00334822	
18.260000	0.00464384	
18.279999	0.01372817	
18.299999	0.02361907	
18.320000	0.03063489	
18.340000	0.03395791	
18.359999	0.03208093	
18.379999	0.02492522	
18.400000	0.01318119	
18.420000	-0.00052339	
18.440001	-0.00954886	
18.459999	-0.01266088	
18.480000	-0.01186807	
18.500000	-0.01105173	
18.520000	-0.01105173	
18.539999	-0.01036721	
18.559999	-0.00965968	
18.580000	-0.00540529	
18.600000	0.00058013	
18.619999	0.00966783	
18.639999	0.01796035	
18.660000	0.02761552	
18.680000	0.03460461	
18.699999	0.03952080	
18.719999	0.04067309	
18.740000	0.03853042	
18.760000	0.03249507	
18.779999	0.02268134	
18.799999	0.01162216	
18.820000	-0.00057366	
18.840000	-0.00902896	
18.859999	-0.01280935	
18.879999	-0.01224522	
18.900000	-0.01145376	
18.920000	-0.01125570	
18.939999	-0.01039883	
18.959999	-0.00867535	
18.980000	-0.00289170	
19.000000	0.00566079	
19.020000	0.01613615	
19.039999	0.02471857	
19.059999	0.03215423	
19.080000	0.03659678	
19.100000	0.03893986	
19.119999	0.03901973	
19.139999	0.03605098	
19.160000	0.02803218	
19.180000	0.01284793	
19.199999	-0.00143676	
19.219999	-0.01073377	
19.240000	-0.01289442	
19.260000	-0.01223294	
19.279999	-0.01157551	
19.299999	-0.01064517	
19.320000	-0.01034839	
19.340000	-0.00515811	
19.359999	0.00374141	
19.379999	0.01674350	
19.400000	0.02715515	
19.420000	0.03693828	
19.439999	0.04257867	
19.459999	0.04508133	
19.480000	0.04262188	
19.500000	0.03496745	
19.520000	0.02156100	
19.539999	0.00416750	
19.559999	-0.00937466	
19.580000	-0.01365545	
19.600000	-0.01232290	
19.619999	-0.01021405	
19.639999	-0.01078120	
19.660000	-0.01115060	
19.680000	-0.01095270	
19.699999	-0.00740217	
19.719999	0.00024167	
19.740000	0.01206909	
19.760000	0.02331020	
19.779999	0.03396633	
19.799999	0.04127707	
19.820000	0.04766722	
19.840000	0.05035113	
19.859999	0.05136588	
19.879999	0.04764216	
19.900000	0.03827518	
19.920000	0.02506864	
19.939999	0.00728977	
19.959999	-0.00395757	
19.980000	-0.01187295	
20.000000	-0.01098481	
20.020000	-0.01098481	
20.039999	-0.00964673	
20.059999	-0.00964673	
20.080000	-0.00964673	
20.100000	-0.00830863	
20.119999	-0.00317973	
20.139999	0.00555770	
20.160000	0.01587117	
20.180000	0.02578309	
20.199999	0.03422913	
20.219999	0.04239859	
20.240000	0.04717943	
20.260000	0.04940633	
20.279999	0.04697211	
20.299999	0.04088025	
20.320000	0.03074905	
