Time	Left_Forefoot_y_baseline X
13.679999	-0.00860338	
13.700000	-0.00925782	
13.719999	-0.00923946	
13.740000	-0.00760120	
13.759999	-0.00621931	
13.780000	-0.00364715	
13.799999	-0.00179872	
13.820000	0.00340502	
13.840000	0.00926918	
13.860000	0.01635186	
13.880000	0.02050208	
13.900000	0.02197842	
13.920000	0.02145784	
13.940000	0.01579994	
13.960000	0.00572041	
13.980000	-0.00532316	
14.000000	-0.01150204	
14.020000	-0.01240791	
14.040000	-0.01234974	
14.059999	-0.01224950	
14.080000	-0.01217814	
14.099999	-0.01036437	
14.120000	-0.00864793	
14.139999	-0.00514372	
14.160000	-0.00057791	
14.179999	0.00814180	
14.200000	0.01606497	
14.219999	0.02348839	
14.240000	0.02678347	
14.259999	0.02839245	
14.280000	0.02713327	
14.299999	0.02243321	
14.320000	0.01428770	
14.340000	0.00385651	
14.360000	-0.00313379	
14.380000	-0.00644557	
14.400000	-0.00690159	
14.420000	-0.00713260	
14.440000	-0.00683869	
14.460000	-0.00580990	
14.480000	-0.00496262	
14.500000	-0.00309026	
14.520000	-0.00123627	
14.540000	0.00369006	
14.559999	0.00924277	
14.580000	0.01574962	
14.599999	0.01943018	
14.620000	0.01994148	
14.639999	0.01524326	
14.660000	0.00569566	
14.679999	-0.00365601	
14.700000	-0.01006302	
14.719999	-0.01190919	
14.740000	-0.01310711	
14.759999	-0.01371802	
14.780000	-0.01368873	
14.799999	-0.01315165	
14.820000	-0.01015790	
14.839999	-0.00733699	
14.860000	-0.00193402	
14.880000	0.00354485	
14.900000	0.01133706	
14.920000	0.01665156	
14.940000	0.01983340	
14.960000	0.02023394	
14.980000	0.01607487	
15.000000	0.00674300	
15.020000	-0.00346957	
15.040000	-0.00921182	
15.059999	-0.01108006	
15.080000	-0.01204120	
15.099999	-0.01219237	
15.120000	-0.01148286	
15.139999	-0.00950594	
15.160000	-0.00825028	
15.179999	-0.00466850	
15.200000	-0.00016293	
15.219999	0.00720336	
15.240000	0.01226498	
15.259999	0.01507434	
15.280000	0.01231448	
15.299999	0.00521137	
15.320000	-0.00339635	
15.339999	-0.00930175	
15.360000	-0.01088536	
15.380000	-0.01146451	
15.400000	-0.01203707	
15.420000	-0.01130053	
15.440000	-0.01002838	
15.460000	-0.00659986	
15.480000	-0.00190143	
15.500000	0.00664194	
15.520000	0.01302895	
15.540000	0.01526244	
15.559999	0.01010780	
15.580000	0.00066786	
15.599999	-0.00683993	
15.620000	-0.01154970	
15.639999	-0.01197395	
15.660000	-0.01301511	
15.679999	-0.01331191	
15.700000	-0.01268429	
15.719999	-0.01176007	
15.740000	-0.00883316	
15.759999	-0.00375007	
15.780000	0.00462314	
15.799999	0.01101571	
15.820000	0.01536599	
15.839999	0.01642653	
15.860000	0.01548809	
15.880000	0.01013647	
15.900000	0.00062577	
15.920000	-0.00679372	
15.940000	-0.01095301	
15.960000	-0.01101653	
15.980000	-0.01156062	
16.000000	-0.01199086	
16.020000	-0.01055700	
16.039999	-0.00875725	
16.059999	-0.00541967	
16.080000	-0.00162917	
16.100000	0.00556530	
16.119999	0.01166932	
16.139999	0.01559080	
16.160000	0.01619141	
16.180000	0.01205440	
16.199999	0.00346050	
16.219999	-0.00593571	
16.240000	-0.01098973	
16.260000	-0.01209357	
16.279999	-0.01248752	
16.299999	-0.01230787	
16.320000	-0.01169160	
16.340000	-0.00966145	
16.359999	-0.00824471	
16.379999	-0.00412565	
16.400000	0.00217040	
16.420000	0.01161385	
16.440001	0.02022032	
16.459999	0.02699797	
16.480000	0.03061791	
16.500000	0.03130308	
16.520000	0.02899264	
16.539999	0.02315591	
16.559999	0.01446053	
16.580000	0.00244512	
16.600000	-0.00591303	
16.619999	-0.01035406	
16.639999	-0.01035406	
16.660000	-0.01071581	
16.680000	-0.01106706	
16.699999	-0.00914149	
16.719999	-0.00698492	
16.740000	-0.00326930	
16.760000	0.00172696	
