Time	Knöchel re X	Knöchel re Y	Knöchel re Weg	Knöchel re v(X)	Knöchel re v(Y)	Knöchel re v(Bahn)	Knöchel re a(X)	Knöchel re a(Y)	Knöchel re a(Bahn)
1.940000	-0.82794881	-0.53684241	0.59899300	-0.23386618	-0.01872231	0.23461440	-0.34826136	-0.25623494	0.36680523	
1.960000	-0.83266276	-0.53727311	0.60372657	-0.24208567	-0.02568562	0.24344449	-0.27946571	-0.21338552	0.29585201	
1.980000	-0.83770072	-0.53798848	0.60881507	-0.24847901	-0.03012120	0.25029802	-0.14404686	-0.11152397	0.15314563	
2.000000	-0.84280998	-0.53864586	0.61396646	-0.25047204	-0.03084390	0.25236401	0.02092737	0.02128940	-0.02277722	
2.020000	-0.84799045	-0.53937536	0.61919808	-0.24715926	-0.02846071	0.24879250	0.16891223	0.14599757	-0.18109491	
2.040000	-0.85290629	-0.53986967	0.62413871	-0.24010852	-0.02332999	0.24123928	0.25387159	0.22703724	-0.27153492	
2.060000	-0.85763532	-0.54031169	0.62888837	-0.23221414	-0.01706431	0.23284028	0.25153312	0.25902209	-0.26926401	
2.080000	-0.86204290	-0.54055566	0.63330269	-0.22655170	-0.01085922	0.22681180	0.17820856	0.25206187	-0.19222900	
2.100000	-0.86646205	-0.54070562	0.63772440	-0.22433242	-0.00625029	0.22441947	0.07985815	0.21546751	-0.08850311	
2.120000	-0.87084705	-0.54073083	0.64210945	-0.22520861	-0.00253767	0.22522290	0.00342714	0.16369656	-0.00744996	
2.140000	-0.87546664	-0.54073083	0.64672905	-0.22724336	0.00019794	0.22724345	-0.02855595	0.11881039	0.02733108	
2.160000	-0.88003719	-0.54073268	0.65129960	-0.22849382	0.00202457	0.22850280	-0.01866829	0.09201728	0.01881172	
2.180000	-0.88472110	-0.54067397	0.65598387	-0.22823329	0.00297427	0.22825268	0.01708231	0.08465756	-0.01595504	
2.200000	-0.88921165	-0.54057729	0.66047543	-0.22703847	0.00424236	0.22707811	0.06208647	0.11330029	-0.05890675	
2.220000	-0.89375150	-0.54047894	0.66501635	-0.22537576	0.00608389	0.22545786	0.11663233	0.20243815	-0.10565776	
2.240000	-0.89817774	-0.54038006	0.66944373	-0.22327220	0.00974312	0.22348469	0.19526672	0.36468387	-0.15948229	
2.260000	-0.90271574	-0.54021162	0.67398483	-0.21965893	0.01711000	0.22032429	0.31385639	0.61439782	-0.20735715	
2.280000	-0.90709776	-0.53991419	0.67837691	-0.21292758	0.03080665	0.21514460	0.48305041	0.95534813	-0.20929231	
2.300000	-0.91143656	-0.53926206	0.68276447	-0.20198466	0.05219601	0.20861982	0.70703959	1.35750353	-0.10759342	
2.320000	-0.91535646	-0.53816557	0.68683481	-0.18601336	0.08387984	0.20405097	0.96888328	1.75783622	0.13559145	
2.340000	-0.91901934	-0.53627306	0.69095773	-0.16429144	0.12488013	0.20636551	1.24994981	2.07042789	0.48369625	
2.360000	-0.92210412	-0.53355211	0.69507104	-0.13597205	0.17326888	0.22025101	1.55958486	2.16472888	0.79287356	
2.380000	-0.92472106	-0.52949554	0.69989848	-0.10206348	0.22307675	0.24531651	1.93712151	1.88825297	0.87567681	
2.400000	-0.92645854	-0.52447760	0.70520872	-0.06176902	0.26665816	0.27371880	2.41115928	1.15446818	0.65156120	
2.420000	-0.92733407	-0.51826143	0.71148622	-0.01208335	0.29033312	0.29058447	3.00639510	-0.03039823	0.33162782	
2.440000	-0.92722970	-0.51179576	0.71795273	0.05236142	0.28134125	0.28617236	3.70368266	-1.54524243	0.40547708	
2.460000	-0.92592585	-0.50535715	0.72452205	0.13334596	0.23330267	0.26872158	4.30215359	-3.12297821	1.05970883	
2.480000	-0.92283922	-0.50068063	0.73012537	0.23241034	0.14672448	0.27485022	4.43770313	-4.36871672	1.91276407	
2.500000	-0.91732621	-0.49828619	0.73613590	0.34044570	0.03244553	0.34198830	3.81022167	-4.96823359	2.48285103	
2.520000	-0.90925050	-0.49902260	0.74424511	0.43099779	-0.08936247	0.44016445	2.31081700	-4.78959560	2.34322190	
2.540000	-0.89861435	-0.50256419	0.75545537	0.47237208	-0.19208930	0.50993496	0.03787899	-3.86658549	1.11691642	
2.560000	-0.88705862	-0.50832480	0.76836735	0.44752738	-0.26190543	0.51853180	-2.55321574	-2.41800690	-0.88817853	
2.580000	-0.87707692	-0.51500481	0.78037804	0.35640708	-0.29216745	0.46085554	-4.73203325	-0.84155113	-2.53601694	
2.600000	-0.87073058	-0.52132595	0.78933531	0.21470031	-0.28530720	0.35706642	-5.91679573	0.50637680	-3.08619142	
2.620000	-0.86846042	-0.52709335	0.79553342	0.05912133	-0.25076285	0.25763801	-5.95323801	1.47718084	-2.72169614	
2.640000	-0.86970896	-0.53172880	0.80033410	-0.07111825	-0.20565879	0.21760824	-5.01552582	2.01323390	-1.82849753	
2.660000	-0.87347513	-0.53533185	0.80554622	-0.15585342	-0.15908001	0.22270325	-3.50738621	2.12245679	-0.79586375	
2.680000	-0.87808454	-0.53776503	0.81075841	-0.19965635	-0.11362975	0.22972675	-1.98151851	1.94165409	-0.16086970	
2.700000	-0.88255024	-0.53961825	0.81559336	-0.21403025	-0.07481373	0.22672901	-0.87225300	1.64795077	-0.07613509	
2.720000	-0.88649237	-0.54066175	0.81967127	-0.21242292	-0.04625070	0.21739969	-0.27203897	1.29663336	-0.16019103	
2.740000	-0.89064062	-0.54109716	0.82384229	-0.20811301	-0.02610583	0.20974399	-0.03915955	0.91907001	-0.15060113	
2.760000	-0.89481413	-0.54124343	0.82801837	-0.20907240	-0.01110384	0.20936705	-0.02080487	0.59978163	-0.05587716	
2.780000	-0.89911163	-0.54137754	0.83231795	-0.21290374	-0.00297973	0.21292458	-0.08691049	0.37075365	0.05927959	
2.800000	-0.90327358	-0.54141629	0.83648008	-0.21585415	0.00005613	0.21585415	-0.12665473	0.19098102	0.11964051	
2.820000	-0.90766931	-0.54130036	0.84087735	-0.21771258	0.00152787	0.21771795	-0.10215207	0.05816581	0.10167474	
2.840000	-0.91202933	-0.54121685	0.84523815	-0.21969344	0.00204494	0.21970296	-0.05197225	0.00062750	0.05209909	
2.860000	-0.91656691	-0.54117656	0.84977591	-0.22104622	0.00062709	0.22104712	-0.01049240	-0.00347445	0.01045676	
2.880000	-0.92089826	-0.54117763	0.85410726	-0.22050878	-0.00076368	0.22051011	0.03267327	0.02309285	-0.03242379	
2.900000	-0.92540240	-0.54126054	0.85861218	-0.21874349	-0.00026474	0.21874365	0.09426837	0.09154212	-0.09180751	
2.920000	-0.92969477	-0.54132944	0.86290509	-0.21683241	0.00231018	0.21684472	0.15494290	0.19729906	-0.14634338	
2.940000	-0.93406659	-0.54128462	0.86727715	-0.21356137	0.00722830	0.21368366	0.21232130	0.33247301	-0.18771879	
2.960000	-0.93826383	-0.54109311	0.87147874	-0.20827891	0.01499627	0.20881808	0.30733800	0.52686292	-0.23657820	
2.980000	-0.94252437	-0.54072016	0.87575555	-0.20221514	0.02547129	0.20381302	0.46406105	0.82134199	-0.26148629	
3.000000	-0.94642806	-0.54017812	0.87969667	-0.19338049	0.04202200	0.19789356	0.67699784	1.23437929	-0.15649560	
3.020000	-0.95028549	-0.53930748	0.88365114	-0.17878929	0.06862529	0.19150728	0.96945578	1.75971305	0.16654214	
3.040000	-0.95382142	-0.53800595	0.88741899	-0.15681703	0.10897066	0.19096121	1.36062527	2.32052422	0.70127493	
3.060000	-0.95699865	-0.53563470	0.89138353	-0.12700279	0.16350093	0.20703204	1.82172823	2.74482584	1.32948029	
3.080000	-0.95930594	-0.53201157	0.89567894	-0.08651337	0.22962953	0.24538599	2.32531118	2.83169341	1.84847546	
3.100000	-0.96074039	-0.52663928	0.90123945	-0.03462631	0.29726389	0.29927379	2.88260627	2.41605783	2.05668783	
3.120000	-0.96102595	-0.51979637	0.90808833	0.02837528	0.35129103	0.35243517	3.49722838	1.41979635	1.90123999	
3.140000	-0.96000844	-0.51156634	0.91638100	0.10283734	0.37637264	0.39016902	4.13654518	-0.09911987	1.61464703	
3.160000	-0.95736372	-0.50307679	0.92527294	0.19160153	0.36069936	0.40843013	4.74530411	-1.89891422	1.61061049	
3.180000	-0.95287466	-0.49525690	0.93428975	0.29500437	0.29989743	0.42067334	5.22315454	-3.63134670	2.10491896	
3.200000	-0.94613928	-0.48943791	0.94319063	0.40989774	0.19836938	0.45537519	5.40304136	-4.95182514	2.93226385	
3.220000	-0.93683821	-0.48631296	0.95300263	0.52820748	0.07264984	0.53318024	5.06097031	-5.59546185	3.65911698	
3.240000	-0.92483777	-0.48636901	0.96500319	0.63744563	-0.05794724	0.64007407	3.99822497	-5.42748642	3.71598387	
3.260000	-0.91046560	-0.48938763	0.97968894	0.72037202	-0.17351651	0.74097490	2.16206884	-4.52447367	2.65906501	
3.280000	-0.89445901	-0.49457669	0.99651563	0.75517070	-0.25901932	0.79835695	-0.29164490	-3.15489769	0.51450706	
3.300000	-0.87796175	-0.50123084	1.01430428	0.72468144	-0.30468243	0.78612632	-3.03417659	-1.63189697	-2.20885205	
3.320000	-0.86251932	-0.50825417	1.03126884	0.62621558	-0.31392837	0.70049769	-5.56851006	-0.22987702	-4.70800066	
3.340000	-0.85022533	-0.51496756	1.04527640	0.47233805	-0.29706994	0.55799085	-7.32469416	0.82809889	-5.97818708	
3.360000	-0.84232706	-0.52054858	1.05494750	0.28586650	-0.26449102	0.38945496	-7.93247557	1.43584156	-5.55677748	
3.380000	-0.83914196	-0.52533507	1.06069684	0.10088281	-0.22484453	0.24643946	-7.39219856	1.68287885	-4.07474184	
3.400000	-0.83984441	-0.52935570	1.06477833	-0.04955131	-0.18730603	0.19374953	-5.98250580	1.72131062	-2.31126690	
3.420000	-0.84342164	-0.53279030	1.06973743	-0.14928424	-0.15581442	0.21578674	-4.14335012	1.63515270	-0.70125216	
