Time	Paced_right_y_velocity X
9.700000	-0.13123168	
9.719999	-0.06183284	
9.740000	-0.01832823	
9.760000	-0.00211975	
9.780000	-0.00424074	
9.800000	-0.00152017	
9.820000	0.00220040	
9.840000	0.00405082	
9.860000	0.00304195	
9.880000	0.00250290	
9.900000	0.00288846	
9.920000	0.00444650	
9.940000	0.00609010	
9.960000	0.01658567	
9.980000	0.03214750	
10.000000	0.05854204	
10.020000	0.08757670	
10.040000	0.12078771	
10.059999	0.14432588	
10.080000	0.15373559	
10.099999	0.14685704	
10.120000	0.11838689	
10.139999	0.07836009	
10.160000	0.02759371	
10.179999	-0.01520154	
10.200000	-0.05268664	
10.219999	-0.06710425	
10.240000	-0.08832777	
10.260000	-0.11635443	
10.280000	-0.14106445	
10.300000	-0.14655392	
10.320000	-0.13563529	
10.340000	-0.11142115	
10.360000	-0.06635770	
10.380000	-0.02448725	
10.400000	-0.00364501	
10.420000	-0.00502132	
10.440000	-0.00473404	
10.460000	-0.00594618	
10.480000	-0.00513096	
10.500000	-0.00235625	
10.520000	0.00101539	
10.540000	0.00361719	
10.559999	0.00642910	
10.580000	0.00719186	
10.599999	0.01399076	
10.620000	0.02460429	
10.639999	0.05416626	
10.660000	0.09534914	
10.679999	0.14282763	
10.700000	0.17492299	
10.719999	0.19054766	
10.740000	0.18668930	
10.760000	0.16052809	
10.780000	0.12212323	
10.800000	0.07545082	
10.820000	0.03629561	
10.840000	-0.00972443	
10.860000	-0.04443295	
10.880000	-0.07846191	
10.900000	-0.10001072	
10.920000	-0.13480181	
10.940000	-0.17396653	
10.960000	-0.19813780	
10.980000	-0.19163451	
11.000000	-0.15998793	
11.020000	-0.11787211	
11.040000	-0.06298954	
11.059999	-0.01950940	
11.080000	-0.00004135	
11.099999	-0.00510302	
11.120000	-0.00553565	
11.139999	-0.00540403	
11.160000	-0.00588180	
11.179999	-0.00476545	
11.200000	0.00002962	
11.219999	0.00521640	
11.240000	0.00925623	
11.259999	0.01127720	
11.280000	0.01251635	
11.300000	0.01139274	
11.320000	0.02151646	
11.340000	0.04293694	
11.360000	0.08129884	
11.380000	0.12384586	
11.400000	0.15893945	
11.420000	0.17151038	
11.440000	0.15438268	
11.460000	0.11440747	
11.480000	0.06189797	
11.500000	0.01948550	
11.520000	-0.01597888	
11.540000	-0.03777170	
11.559999	-0.05573119	
11.580000	-0.06184321	
11.599999	-0.08526963	
11.620000	-0.12205915	
11.639999	-0.14717244	
11.660000	-0.14705615	
11.679999	-0.13033698	
11.700000	-0.10162103	
11.719999	-0.05459150	
11.740000	-0.01425457	
11.759999	0.00374100	
11.780000	0.00187742	
11.800000	0.00686633	
11.820000	0.01156336	
11.840000	0.02936440	
11.860000	0.05678930	
11.880000	0.09631411	
11.900000	0.13462995	
11.920000	0.15179348	
11.940000	0.13305086	
11.960000	0.05898418	
11.980000	-0.04286088	
12.000000	-0.13143849	
12.020000	-0.16775759	
12.040000	-0.15860286	
12.059999	-0.11135832	
12.080000	-0.05220458	
12.099999	-0.00827933	
12.120000	0.00745437	
12.139999	0.00160697	
12.160000	0.00969873	
12.179999	0.02494764	
12.200000	0.04736792	
12.219999	0.06686378	
12.240000	0.09227956	
12.259999	0.11827252	
12.280000	0.13771139	
12.300000	0.14217404	
12.320000	0.12654676	
12.340000	0.09648299	
12.360000	0.04157838	
12.380000	-0.01550478	
12.400000	-0.07457817	
12.420000	-0.12007221	
12.440000	-0.15365991	
12.460000	-0.16083574	
12.480000	-0.14467953	
12.500000	-0.11294591	
12.520000	-0.07170007	
12.540000	-0.03707196	
12.559999	-0.01387037	
12.580000	-0.00960330	
12.599999	-0.00906276	
12.620000	-0.00969668	
12.639999	-0.00478942	
12.660000	0.00249036	
12.679999	0.01719059	
12.700000	0.03388578	
12.719999	0.06161205	
12.740000	0.09065130	
12.759999	0.12213446	
12.780000	0.14418109	
12.799999	0.15169854	
12.820000	0.14182808	
12.840000	0.10923558	
12.860000	0.06638477	
12.880000	0.01494766	
12.900000	-0.03019533	
12.920000	-0.09115800	
12.940000	-0.14864132	
12.960000	-0.18381500	
12.980000	-0.18068272	
13.000000	-0.15253462	
13.020000	-0.10745452	
