Time	Knee_Angle_right X
13.500000	161.92184448	
13.520000	162.11277771	
13.540000	162.21775818	
13.559999	162.22428894	
13.580000	162.09368896	
13.599999	161.75956726	
13.620000	161.16159058	
13.639999	160.25894165	
13.660000	158.98956299	
13.679999	157.31575012	
13.700000	155.20211792	
13.719999	152.67300415	
13.740000	149.71685791	
13.759999	146.41413879	
13.780000	142.89680481	
13.799999	139.45588684	
13.820000	136.33117676	
13.840000	133.78982544	
13.860000	131.96588135	
13.880000	130.96067810	
13.900000	130.72485352	
13.920000	131.20759583	
13.940000	132.30920410	
13.960000	133.89765930	
13.980000	135.84489441	
14.000000	137.96739197	
14.020000	140.08250427	
14.040000	141.92750549	
14.059999	143.43360901	
14.080000	144.64912415	
14.099999	145.78514099	
14.120000	146.97663879	
14.139999	148.40013123	
14.160000	150.12033081	
14.179999	152.08607483	
14.200000	154.10748291	
14.219999	156.05146790	
14.240000	157.82109070	
14.259999	159.36425781	
14.280000	160.60086060	
14.299999	161.58396912	
14.320000	162.33715820	
14.340000	162.93916321	
14.360000	163.40040588	
14.380000	163.80439758	
14.400000	164.11560059	
14.420000	164.40618896	
14.440000	164.64299011	
14.460000	164.86096191	
14.480000	164.97969055	
14.500000	165.02861023	
14.520000	164.96804810	
14.540000	164.76860046	
14.559999	164.39823914	
14.580000	163.81733704	
14.599999	162.99763489	
14.620000	161.81018066	
14.639999	160.31515503	
14.660000	158.43536377	
14.679999	156.29119873	
14.700000	153.79226685	
14.719999	151.10626221	
14.740000	148.12701416	
14.759999	144.98570251	
14.780000	141.64796448	
14.799999	138.39190674	
14.820000	135.42485046	
14.839999	133.11038208	
14.860000	131.64874268	
14.880000	131.17625427	
14.900000	131.66703796	
14.920000	132.95596313	
14.940000	134.85653687	
14.960000	137.11631775	
14.980000	139.48081970	
15.000000	141.65087891	
15.020000	143.50502014	
15.040000	145.03713989	
15.059999	146.37745667	
15.080000	147.64050293	
15.099999	148.96408081	
15.120000	150.35136414	
15.139999	151.73913574	
15.160000	153.00036621	
15.179999	154.12950134	
15.200000	155.15615845	
15.219999	156.13435364	
15.240000	157.05522156	
15.259999	157.90115356	
15.280000	158.68217468	
15.299999	159.39633179	
15.320000	160.03628540	
15.339999	160.59442139	
15.360000	161.06030273	
15.380000	161.42808533	
15.400000	161.67063904	
15.420000	161.78782654	
15.440000	161.76635742	
15.460000	161.58847046	
15.480000	161.25155640	
15.500000	160.67970276	
15.520000	159.82882690	
15.540000	158.59187317	
15.559999	156.95571899	
15.580000	154.86824036	
15.599999	152.37681580	
15.620000	149.48397827	
15.639999	146.32527161	
15.660000	143.02037048	
15.679999	139.85595703	
15.700000	137.12884521	
15.719999	135.19590759	
15.740000	134.24563599	
15.759999	134.33285522	
15.780000	135.33409119	
15.799999	137.00267029	
15.820000	139.03054810	
15.839999	141.05094910	
15.860000	142.87376404	
15.880000	144.39588928	
15.900000	145.75408936	
15.920000	147.00401306	
15.940000	148.27503967	
15.960000	149.54856873	
15.980000	150.85156250	
16.000000	152.05062866	
16.020000	153.10223389	
16.039999	154.00965881	
16.059999	154.89906311	
16.080000	155.75012207	
16.100000	156.57717896	
16.119999	157.33183289	
16.139999	158.06651306	
16.160000	158.72299194	
16.180000	159.32087708	
16.199999	159.80390930	
16.219999	160.21170044	
16.240000	160.48542786	
16.260000	160.67158508	
16.279999	160.72457886	
16.299999	160.68125916	
16.320000	160.52734375	
16.340000	160.26077271	
16.359999	159.86297607	
16.379999	159.33023071	
16.400000	158.68629456	
16.420000	157.85360718	
16.440001	156.86431885	
16.459999	155.63223267	
16.480000	154.17875671	
16.500000	152.33609009	
16.520000	150.10778809	
16.539999	147.37322998	
16.559999	144.21748352	
16.580000	140.67918396	
16.600000	137.09858704	
16.619999	133.80557251	
16.639999	131.26293945	
16.660000	129.73063660	
16.680000	129.39935303	
16.699999	130.23713684	
16.719999	132.06739807	
16.740000	134.58354187	
16.760000	137.40457153	
16.779999	140.16952515	
16.799999	142.51321411	
16.820000	144.38510132	
16.840000	145.83364868	
16.859999	147.02265930	
16.879999	147.96804810	
16.900000	148.85029602	
16.920000	149.78437805	
16.940001	150.74014282	
16.959999	151.59941101	
16.980000	152.43218994	
17.000000	153.28315735	
17.020000	154.05859375	
17.039999	154.64021301	
17.059999	155.12644958	
17.080000	155.59175110	
17.100000	156.04028320	
17.119999	156.41253662	
17.139999	156.77926636	
17.160000	157.12072754	
17.180000	157.42572021	
17.199999	157.66009521	
17.219999	157.78546143	
17.240000	157.69114685	
17.260000	157.23524475	
17.279999	156.26322937	
17.299999	154.63990784	
17.320000	152.25614929	
17.340000	149.09996033	
17.359999	145.33499146	
17.379999	141.24107361	
17.400000	137.22723389	
17.420000	133.74003601	
17.440001	131.17007446	
17.459999	129.73422241	
17.480000	129.46725464	
17.500000	130.29646301	
17.520000	132.00485229	
17.539999	134.35804749	
17.559999	137.03280640	
17.580000	139.79866028	
