Time	Right_Heel_y_baseline X
16.539999	0.03519331	
16.559999	0.02969828	
16.580000	0.01988970	
16.600000	0.00953189	
16.619999	-0.00201048	
16.639999	-0.01049991	
16.660000	-0.01581453	
16.680000	-0.01735622	
16.699999	-0.01549995	
16.719999	-0.01321054	
16.740000	-0.00953110	
16.760000	-0.00774428	
16.779999	-0.00250773	
16.799999	0.00167225	
16.820000	0.00869808	
16.840000	0.01214390	
16.859999	0.01444112	
16.879999	0.01362763	
16.900000	0.00963750	
16.920000	0.00455959	
16.940001	-0.00449120	
16.959999	-0.01102449	
16.980000	-0.01619343	
17.000000	-0.01737224	
17.020000	-0.01637034	
17.039999	-0.01482886	
17.059999	-0.01083873	
17.080000	-0.00813550	
17.100000	-0.00206020	
17.119999	0.00230430	
17.139999	0.01050462	
17.160000	0.01540890	
17.180000	0.02217460	
17.199999	0.02499393	
17.219999	0.02594465	
17.240000	0.02270369	
17.260000	0.01505631	
17.279999	0.00720674	
17.299999	-0.00317040	
17.320000	-0.01024348	
17.340000	-0.01601158	
17.359999	-0.01765950	
17.379999	-0.01557392	
17.400000	-0.01210447	
17.420000	-0.00675204	
17.440001	-0.00267540	
17.459999	0.00370379	
17.480000	0.00974168	
17.500000	0.01663724	
17.520000	0.02053633	
17.539999	0.02289397	
17.559999	0.02289397	
17.580000	0.01980196	
17.600000	0.01452988	
17.619999	0.00503197	
17.639999	-0.00408332	
17.660000	-0.01268494	
17.680000	-0.01702191	
17.699999	-0.01811442	
17.719999	-0.01757032	
17.740000	-0.01392724	
17.760000	-0.01076867	
17.779999	-0.00650258	
17.799999	-0.00538316	
17.820000	-0.00060955	
17.840000	0.00308695	
17.859999	0.01016435	
17.879999	0.01377454	
17.900000	0.01640956	
17.920000	0.01557821	
17.940001	0.01194932	
17.959999	0.00736660	
17.980000	-0.00115940	
18.000000	-0.00801489	
18.020000	-0.01418737	
18.039999	-0.01634692	
18.059999	-0.01524331	
18.080000	-0.01264507	
18.100000	-0.00885898	
18.119999	-0.00695792	
18.139999	-0.00138871	
18.160000	0.00406748	
18.180000	0.01187390	
18.199999	0.01591109	
18.219999	0.01998094	
18.240000	0.02121276	
18.260000	0.01895869	
18.279999	0.01343551	
18.299999	0.00350694	
18.320000	-0.00517564	
18.340000	-0.01327568	
18.359999	-0.01711211	
18.379999	-0.01736155	
18.400000	-0.01584145	
18.420000	-0.01133271	
18.440001	-0.00766805	
18.459999	-0.00149310	
18.480000	0.00259545	
18.500000	0.00970799	
18.520000	0.01445796	
18.539999	0.01958786	
18.559999	0.02100728	
18.580000	0.02086674	
18.600000	0.01767817	
18.619999	0.01069590	
18.639999	0.00169465	
18.660000	-0.00860645	
18.680000	-0.01507914	
18.699999	-0.01786025	
18.719999	-0.01747991	
18.740000	-0.01418121	
18.760000	-0.01102223	
18.779999	-0.00482385	
18.799999	-0.00016367	
18.820000	0.00736494	
18.840000	0.01251888	
18.859999	0.01804946	
18.879999	0.02042414	
18.900000	0.02202891	
18.920000	0.02181315	
18.939999	0.01833282	
18.959999	0.01219404	
18.980000	0.00233984	
19.000000	-0.00612904	
19.020000	-0.01308766	
19.039999	-0.01629144	
19.059999	-0.01663828	
19.080000	-0.01545310	
19.100000	-0.01178639	
19.119999	-0.00866377	
19.139999	-0.00305882	
19.160000	0.00119123	
19.180000	0.00873733	
19.199999	0.01380269	
19.219999	0.01898150	
19.240000	0.02043052	
19.260000	0.02019812	
19.279999	0.01753804	
19.299999	0.01087652	
19.320000	0.00419734	
19.340000	-0.00540926	
19.359999	-0.01101401	
19.379999	-0.01619774	
19.400000	-0.01720828	
19.420000	-0.01583077	
19.439999	-0.01340821	
19.459999	-0.00944068	
19.480000	-0.00719668	
19.500000	-0.00125927	
19.520000	0.00471391	
19.539999	0.01277697	
19.559999	0.01723352	
19.580000	0.02120289	
19.600000	0.02241705	
19.619999	0.02109544	
19.639999	0.01665121	
19.660000	0.00807075	
19.680000	-0.00075975	
19.699999	-0.01035464	
19.719999	-0.01595590	
19.740000	-0.01813230	
19.760000	-0.01745854	
19.779999	-0.01396751	
19.799999	-0.01022580	
19.820000	-0.00320470	
19.840000	0.00114150	
19.859999	0.00510781	
19.879999	0.00570367	
19.900000	0.00399391	
19.920000	0.00136404	
19.939999	-0.00529110	
19.959999	-0.00964041	
19.980000	-0.01499078	
20.000000	-0.01629144	
20.020000	-0.01564707	
20.039999	-0.01370656	
20.059999	-0.00997677	
20.080000	-0.00819242	
20.100000	-0.00260657	
20.119999	0.00161986	
20.139999	0.00902006	
20.160000	0.01264732	
20.180000	0.01683448	
20.199999	0.01786207	
20.219999	0.01762618	
20.240000	0.01637711	
20.260000	0.01186486	
20.279999	0.00662112	
20.299999	-0.00213788	
20.320000	-0.00998807	
20.340000	-0.01638760	
20.359999	-0.01923776	
20.379999	-0.01903248	
20.400000	-0.01833305	
20.420000	-0.01510297	
20.439999	-0.01250802	
20.459999	-0.00869603	
20.480000	-0.00719997	
20.500000	-0.00233555	
20.520000	0.00140493	
20.539999	0.00573409	
20.559999	0.00661537	
20.580000	0.00561799	
20.600000	0.00278491	
20.619999	-0.00332512	
20.639999	-0.01030779	
20.660000	-0.01616281	
20.680000	-0.01873988	
20.699999	-0.01843640	
20.719999	-0.01823400	
20.740000	-0.01670156	
20.760000	-0.01534276	
20.779999	-0.01106784	
20.799999	-0.00764792	
20.820000	-0.00042771	
20.840000	0.00680441	
20.859999	0.01711805	
20.879999	0.02383237	
20.900000	0.02807236	
20.920000	0.02875577	
20.939999	0.02712347	
20.959999	0.02401154	
20.980000	0.01716942	
21.000000	0.00943923	
21.020000	-0.00105625	
