Time	Paced_left_y_velocity X
17.760000	0.03059213	
17.779999	0.07189143	
17.799999	0.15402915	
17.820000	0.25181013	
17.840000	0.34196505	
17.859999	0.39663237	
17.879999	0.39114702	
17.900000	0.32675290	
17.920000	0.21837147	
17.940001	0.09318847	
17.959999	-0.04501502	
17.980000	-0.18591544	
18.000000	-0.32281578	
18.020000	-0.41911089	
18.039999	-0.44126341	
18.059999	-0.38400164	
18.080000	-0.27678320	
18.100000	-0.15626501	
18.119999	-0.04966853	
18.139999	0.00802781	
18.160000	0.03096125	
18.180000	0.05740273	
18.199999	0.11851572	
18.219999	0.20405027	
18.240000	0.29857710	
18.260000	0.37274742	
18.279999	0.39127317	
18.299999	0.33619231	
18.320000	0.20297541	
18.340000	0.00752931	
18.359999	-0.21571918	
18.379999	-0.38956288	
18.400000	-0.45815688	
18.420000	-0.41917145	
18.440001	-0.30992833	
18.459999	-0.17143053	
18.480000	-0.04849556	
18.500000	0.01612094	
18.520000	0.04619488	
18.539999	0.08578496	
18.559999	0.15972462	
18.580000	0.24535193	
18.600000	0.33207440	
18.619999	0.39477271	
18.639999	0.40364480	
18.660000	0.35753423	
18.680000	0.26433918	
18.699999	0.13255428	
18.719999	-0.03498133	
18.740000	-0.20198826	
18.760000	-0.35377863	
18.779999	-0.45703316	
18.799999	-0.47822750	
18.820000	-0.40915126	
18.840000	-0.29169211	
18.859999	-0.16667427	
18.879999	-0.05451811	
18.900000	0.01723163	
18.920000	0.06555688	
18.939999	0.12812541	
18.959999	0.22256087	
18.980000	0.31635034	
19.000000	0.38729045	
19.020000	0.41152471	
19.039999	0.37138286	
19.059999	0.28526428	
19.080000	0.17529558	
19.100000	0.04278159	
19.119999	-0.13837691	
19.139999	-0.32916856	
19.160000	-0.46517989	
19.180000	-0.50854248	
19.199999	-0.45858049	
19.219999	-0.32888824	
19.240000	-0.16295271	
19.260000	-0.03756171	
19.279999	0.04173851	
19.299999	0.11439232	
19.320000	0.22043081	
19.340000	0.33297831	
19.359999	0.43296009	
19.379999	0.48835319	
19.400000	0.45864290	
19.420000	0.34581590	
19.439999	0.17489356	
19.459999	-0.03368475	
19.480000	-0.27489564	
19.500000	-0.48201346	
19.520000	-0.57452631	
19.539999	-0.53228509	
19.559999	-0.40185994	
19.580000	-0.23166615	
19.600000	-0.07333262	
19.619999	0.01376283	
19.639999	0.03723675	
19.660000	0.06840177	
19.680000	0.16146712	
19.699999	0.28816935	
19.719999	0.40344065	
19.740000	0.47775081	
19.760000	0.49127680	
19.779999	0.43601456	
19.799999	0.33605149	
19.820000	0.21403405	
19.840000	0.05771751	
19.859999	-0.12484822	
19.879999	-0.33441174	
19.900000	-0.50548309	
19.920000	-0.59295654	
19.939999	-0.55837411	
19.959999	-0.43395203	
19.980000	-0.26331702	
20.000000	-0.10379369	
20.020000	-0.00831696	
20.039999	0.02683400	
20.059999	0.04661491	
20.080000	0.11072663	
20.100000	0.20151763	
20.119999	0.30741045	
20.139999	0.39556438	
20.160000	0.44980031	
20.180000	0.44527200	
20.199999	0.38277590	
20.219999	0.27899694	
20.240000	0.14416271	
20.260000	-0.02164436	
20.279999	-0.21066974	
20.299999	-0.39397785	
20.320000	-0.52312458	
20.340000	-0.55633169	
20.359999	-0.49479520	
20.379999	-0.36672151	
20.400000	-0.21385065	
20.420000	-0.08206327	
20.439999	0.00012803	
20.459999	0.04307489	
20.480000	0.09939114	
20.500000	0.18870662	
20.520000	0.29225630	
20.539999	0.37577024	
20.559999	0.42169672	
20.580000	0.41179621	
20.600000	0.35063276	
20.619999	0.26573119	
20.639999	0.18104637	
20.660000	0.10978054	
20.680000	0.02532160	
20.699999	-0.07851630	
20.719999	-0.21237245	
20.740000	-0.35965788	
20.760000	-0.48118263	
20.779999	-0.52463621	
20.799999	-0.47275582	
20.820000	-0.35193422	
20.840000	-0.20393845	
20.859999	-0.08058210	
20.879999	0.00159579	
20.900000	0.05111096	
20.920000	0.10918734	
20.939999	0.18529437	
20.959999	0.26451501	
20.980000	0.32306165	
21.000000	0.34781310	
21.020000	0.32918328	
21.039999	0.27141100	
21.059999	0.18831180	
21.080000	0.07795527	
21.100000	-0.05995815	
21.119999	-0.23217982	
21.139999	-0.38048029	
21.160000	-0.45412794	
21.180000	-0.43093881	
21.199999	-0.34079006	
21.219999	-0.21200655	
21.240000	-0.08450166	
21.260000	-0.00771464	
21.279999	0.02272457	
21.299999	0.02984906	
21.320000	0.06021017	
21.340000	0.11208146	
21.359999	0.18522595	
21.379999	0.25689945	
21.400000	0.31455794	
21.420000	0.34089065	
21.439999	0.32296592	
21.459999	0.26821515	
21.480000	0.17203446	
21.500000	0.03791792	
21.520000	-0.15133576	
21.539999	-0.33067536	
21.559999	-0.43754649	
21.580000	-0.44463813	
21.600000	-0.37134311	
21.619999	-0.23984651	
21.639999	-0.09624091	
21.660000	-0.00606943	
21.680000	0.02358369	
21.699999	0.03501908	
21.719999	0.08627272	
21.740000	0.15699293	
21.760000	0.23081920	
21.779999	0.28202373	
21.799999	0.30089626	
21.820000	0.28031456	
21.840000	0.22409979	
21.859999	0.14501202	
21.879999	0.03547642	
21.900000	-0.11307425	
21.920000	-0.27129558	
21.939999	-0.37629530	
21.959999	-0.39670217	
