Time	Left_Heel_y_baseline X
16.219999	-0.01304361	
16.240000	-0.01321618	
16.260000	-0.01248580	
16.279999	-0.01151961	
16.299999	-0.00927831	
16.320000	-0.00796616	
16.340000	-0.00521885	
16.359999	-0.00378346	
16.379999	-0.00036064	
16.400000	0.00162703	
16.420000	0.00361450	
16.440001	0.00361450	
16.459999	0.00209069	
16.480000	-0.00065663	
16.500000	-0.00531158	
16.520000	-0.00842531	
16.539999	-0.01093067	
16.559999	-0.01152840	
16.580000	-0.01261660	
16.600000	-0.01318425	
16.619999	-0.01269132	
16.639999	-0.01172492	
16.660000	-0.00900994	
16.680000	-0.00723170	
16.699999	-0.00388439	
16.719999	-0.00187728	
16.740000	0.00309148	
16.760000	0.00653847	
16.779999	0.01012097	
16.799999	0.01083069	
16.820000	0.01001044	
16.840000	0.00841519	
16.859999	0.00472459	
16.879999	0.00119102	
16.900000	-0.00411488	
16.920000	-0.00742719	
16.940001	-0.01007687	
16.959999	-0.01062936	
16.980000	-0.01212819	
17.000000	-0.01296501	
17.020000	-0.01296501	
17.039999	-0.01212819	
17.059999	-0.00867648	
17.080000	-0.00585240	
17.100000	-0.00117576	
17.119999	0.00105345	
17.139999	0.00531517	
17.160000	0.00763793	
17.180000	0.01024666	
17.199999	0.01061369	
17.219999	0.00907986	
17.240000	0.00649610	
17.260000	0.00161517	
17.279999	-0.00269957	
17.299999	-0.00725523	
17.320000	-0.00951332	
17.340000	-0.01126024	
17.359999	-0.01209708	
17.379999	-0.01217711	
17.400000	-0.01113907	
17.420000	-0.00793301	
17.440001	-0.00492407	
17.459999	0.00091057	
17.480000	0.00485234	
17.500000	0.00936072	
17.520000	0.01083539	
17.539999	0.01275653	
17.559999	0.01355159	
17.580000	0.01209411	
17.600000	0.00851671	
17.619999	0.00185876	
17.639999	-0.00354049	
17.660000	-0.00801243	
17.680000	-0.00966664	
17.699999	-0.01115708	
17.719999	-0.01225019	
17.740000	-0.01288149	
17.760000	-0.01259901	
17.779999	-0.01156116	
17.799999	-0.01072209	
17.820000	-0.00752646	
17.840000	-0.00484486	
17.859999	0.00117259	
17.879999	0.00501037	
17.900000	0.00973777	
17.920000	0.01112872	
17.940001	0.01089476	
17.959999	0.00816976	
17.980000	0.00262067	
18.000000	-0.00271410	
18.020000	-0.00695637	
18.039999	-0.00837435	
18.059999	-0.00912724	
18.080000	-0.00963798	
18.100000	-0.00897555	
18.119999	-0.00782737	
18.139999	-0.00506184	
18.160000	-0.00315565	
18.180000	0.00157483	
18.199999	0.00638618	
18.219999	0.01151194	
18.240000	0.01406887	
18.260000	0.01482587	
18.279999	0.01495565	
18.299999	0.01170620	
18.320000	0.00735258	
18.340000	0.00011018	
18.359999	-0.00537422	
18.379999	-0.01056467	
18.400000	-0.01302294	
18.420000	-0.01395905	
18.440001	-0.01395905	
18.459999	-0.01356152	
18.480000	-0.01324750	
18.500000	-0.01209708	
18.520000	-0.01127990	
18.539999	-0.00839092	
18.559999	-0.00633878	
18.580000	-0.00334193	
18.600000	-0.00248995	
18.619999	-0.00163819	
18.639999	-0.00163819	
18.660000	-0.00339146	
18.680000	-0.00572589	
18.699999	-0.00806034	
18.719999	-0.00864148	
18.740000	-0.00902796	
18.760000	-0.00941443	
18.779999	-0.00956571	
18.799999	-0.00933030	
18.820000	-0.00708267	
18.840000	-0.00483380	
18.859999	-0.00135712	
18.879999	0.00075664	
