Time	Knöchel li X	Knöchel li Y	Knöchel li Weg	Knöchel li v(X)	Knöchel li v(Y)	Knöchel li v(Bahn)	Knöchel li a(X)	Knöchel li a(Y)	Knöchel li a(Bahn)
2.340000	-0.41412234	-0.51259100	0.78191376	0.10554823	0.21512972	0.23962726	-1.41943324	1.58658159	0.76118219	
2.360000	-0.41209921	-0.50872964	0.78627300	0.07691579	0.24837047	0.26000756	-1.52487707	1.46258771	0.90464866	
2.380000	-0.41071060	-0.50291097	0.79225504	0.04671673	0.27693400	0.28084674	-1.60347354	1.15523374	0.85052693	
2.400000	-0.41020986	-0.49771968	0.79747045	0.01070474	0.30090201	0.30109236	-1.76556563	0.60041374	0.53510571	
2.420000	-0.41043466	-0.49050924	0.80468440	-0.02346559	0.31455508	0.31542912	-2.13094234	-0.25647855	0.09559289	
2.440000	-0.41127017	-0.48431626	0.81093347	-0.06211571	0.30514029	0.31139839	-2.69646740	-1.38418901	-0.08201049	
2.460000	-0.41280460	-0.47719625	0.81821698	-0.11476249	0.26879796	0.29227176	-3.40259409	-2.68032289	0.37742266	
2.480000	-0.41486895	-0.47226956	0.82355869	-0.19415312	0.19661775	0.27632222	-4.20449162	-3.89593482	1.50401890	
2.500000	-0.41894650	-0.46823740	0.82929319	-0.29233646	0.09944410	0.30878752	-4.89785862	-4.76724958	3.00381207	
2.520000	-0.42545584	-0.46734560	0.83586335	-0.40340284	-0.01726522	0.40377215	-5.16547441	-5.09065914	4.40004683	
2.540000	-0.43570194	-0.46899396	0.84624118	-0.51898015	-0.13110161	0.53528315	-4.84127092	-4.85903311	5.14709520	
2.560000	-0.44725466	-0.47321555	0.85854107	-0.62394094	-0.23105608	0.66534895	-3.93231821	-4.12669420	4.79025650	
2.580000	-0.46121794	-0.47964725	0.87391442	-0.69908476	-0.30353132	0.76213568	-2.29064751	-2.91836929	3.15687513	
2.600000	-0.47602382	-0.48662132	0.89028060	-0.73566955	-0.35554254	0.81708026	0.17361981	-1.42739236	0.42751041	
2.620000	-0.49221295	-0.49433386	0.90821302	-0.72254759	-0.37251869	0.81292385	3.11251998	0.04516515	-2.77070308	
2.640000	-0.50746471	-0.50195462	0.92526269	-0.63261217	-0.35059759	0.72326815	5.86748791	1.28875434	-5.54486227	
2.660000	-0.52091509	-0.51023853	0.94105941	-0.46126875	-0.29727134	0.54876143	7.90306473	2.21806693	-6.67631769	
2.680000	-0.52961832	-0.51589262	0.95143801	-0.24500206	-0.23538511	0.33975309	8.75100708	2.63867140	-5.77149487	
2.700000	-0.53162909	-0.51951480	0.95558089	-0.03977665	-0.17672819	0.18114920	8.08992290	2.46452880	-3.83019185	
2.720000	-0.52745730	-0.52056658	0.95988321	0.12361949	-0.12408441	0.17515342	6.18453121	1.91544712	-1.69985509	
2.740000	-0.52148718	-0.52286756	0.96628141	0.22404160	-0.08968434	0.24132533	3.89110184	1.37414706	0.16594002	
2.760000	-0.51617569	-0.52490091	0.97196883	0.26137248	-0.07706083	0.27249578	1.96735656	0.94667917	0.93747389	
2.780000	-0.51162332	-0.52661294	0.97683245	0.25598469	-0.07338843	0.26629686	0.68635005	0.61408281	0.51294804	
2.800000	-0.50680977	-0.52738154	0.98170698	0.24752446	-0.06072842	0.25486526	0.04097246	0.45655647	-0.04946637	
2.820000	-0.50134605	-0.52839303	0.98726356	0.24966961	-0.04729726	0.25411010	-0.08921383	0.48046634	-0.17914505	
2.840000	-0.49661440	-0.52952558	0.99212885	0.25568470	-0.03818819	0.25852081	0.01023933	0.50674969	-0.07393444	
2.860000	-0.49129155	-0.53035921	0.99751657	0.25430447	-0.03197713	0.25630704	0.02072620	0.43002942	-0.03486013	
2.880000	-0.48646751	-0.53072810	1.00235474	0.25279376	-0.02198442	0.25374791	-0.07895359	0.34095287	-0.11234795	
2.900000	-0.48100379	-0.53098083	1.00782430	0.25112382	-0.01337031	0.25147951	-0.15501325	0.29708239	-0.17813158	
2.920000	-0.47631806	-0.53110915	1.01251173	0.24730827	-0.00914608	0.24747734	-0.17606442	0.25546876	-0.19060895	
2.940000	-0.47109824	-0.53124613	1.01773334	0.24266991	-0.00706265	0.24277267	-0.18590103	0.19431390	-0.19162935	
2.960000	-0.46664172	-0.53143573	1.02219391	0.23781723	-0.00354176	0.23784360	-0.16647440	0.16020350	-0.16806653	
2.980000	-0.46168399	-0.53154606	1.02715290	0.23465818	0.00029181	0.23465836	-0.10087486	0.15107304	-0.10110421	
3.000000	-0.45725626	-0.53154606	1.03158069	0.23305506	0.00392273	0.23308806	-0.00914950	0.11525977	-0.00897776	
3.020000	-0.45245329	-0.53124189	1.03639328	0.23344584	0.00622670	0.23352887	0.04922317	0.04506479	0.04936666	
3.040000	-0.44797775	-0.53106397	1.04087234	0.23705690	0.00707755	0.23716253	0.04055846	-0.01599123	0.04033165	
3.060000	-0.44308391	-0.53087431	1.04576981	0.24060833	0.00446836	0.24064982	-0.00936904	-0.01383963	-0.00992516	
3.080000	-0.43846452	-0.53091568	1.05038941	0.23974693	0.00165949	0.23975267	-0.06705340	0.08489929	-0.06282885	
3.100000	-0.43307015	-0.53085488	1.05578411	0.23475802	0.00134930	0.23476189	-0.12045982	0.25289366	-0.09991510	
3.120000	-0.42864370	-0.53104448	1.06021464	0.22952648	0.00896578	0.22970152	-0.15504839	0.43079671	-0.10965443	
3.140000	-0.42395821	-0.53083795	1.06490469	0.22769685	0.02347702	0.22890396	-0.17225550	0.60062408	-0.09071339	
